DATE,MANMM101CAM189S
1960-01-01,9700000000
1960-02-01,9700000000
1960-03-01,9700000000
1960-04-01,9800000000
1960-05-01,9800000000
1960-06-01,10000000000
1960-07-01,9800000000
1960-08-01,9900000000
1960-09-01,10000000000
1960-10-01,10100000000
1960-11-01,10100000000
1960-12-01,10100000000
1961-01-01,10200000000
1961-02-01,10300000000
1961-03-01,10400000000
1961-04-01,10200000000
1961-05-01,10200000000
1961-06-01,10300000000
1961-07-01,10400000000
1961-08-01,10600000000
1961-09-01,10500000000
1961-10-01,10500000000
1961-11-01,10700000000
1961-12-01,10700000000
1962-01-01,10600000000
1962-02-01,10700000000
1962-03-01,10600000000
1962-04-01,10700000000
1962-05-01,10700000000
1962-06-01,10700000000
1962-07-01,10600000000
1962-08-01,10600000000
1962-09-01,10800000000
1962-10-01,11000000000
1962-11-01,11000000000
1962-12-01,11200000000
1963-01-01,11100000000
1963-02-01,11100000000
1963-03-01,11100000000
1963-04-01,11300000000
1963-05-01,11500000000
1963-06-01,11400000000
1963-07-01,11500000000
1963-08-01,11400000000
1963-09-01,11500000000
1963-10-01,11500000000
1963-11-01,11500000000
1963-12-01,11600000000
1964-01-01,11800000000
1964-02-01,11700000000
1964-03-01,11900000000
1964-04-01,11900000000
1964-05-01,11900000000
1964-06-01,12000000000
1964-07-01,12000000000
1964-08-01,12000000000
1964-09-01,12000000000
1964-10-01,12100000000
1964-11-01,12100000000
1964-12-01,12300000000
1965-01-01,12300000000
1965-02-01,12300000000
1965-03-01,12400000000
1965-04-01,12600000000
1965-05-01,12600000000
1965-06-01,12800000000
1965-07-01,12900000000
1965-08-01,13100000000
1965-09-01,12900000000
1965-10-01,12900000000
1965-11-01,13000000000
1965-12-01,13100000000
1966-01-01,13100000000
1966-02-01,13300000000
1966-03-01,13400000000
1966-04-01,13400000000
1966-05-01,13500000000
1966-06-01,13500000000
1966-07-01,13600000000
1966-08-01,13600000000
1966-09-01,13700000000
1966-10-01,13900000000
1966-11-01,14100000000
1966-12-01,14100000000
1967-01-01,14300000000
1967-02-01,14600000000
1967-03-01,14800000000
1967-04-01,14900000000
1967-05-01,14900000000
1967-06-01,14900000000
1967-07-01,14900000000
1967-08-01,14900000000
1967-09-01,15200000000
1967-10-01,15400000000
1967-11-01,15200000000
1967-12-01,15200000000
1968-01-01,15400000000
1968-02-01,15300000000
1968-03-01,15100000000
1968-04-01,15200000000
1968-05-01,15200000000
1968-06-01,15200000000
1968-07-01,15600000000
1968-08-01,16100000000.000002
1968-09-01,16000000000
1968-10-01,16000000000
1968-11-01,16200000000
1968-12-01,16300000000
1969-01-01,16600000000.000002
1969-02-01,16399999999.999998
1969-03-01,16600000000.000002
1969-04-01,16800000000
1969-05-01,17000000000
1969-06-01,16899999999.999998
1969-07-01,16800000000
1969-08-01,16600000000.000002
1969-09-01,16700000000
1969-10-01,16899999999.999998
1969-11-01,16700000000
1969-12-01,16800000000
1970-01-01,16800000000
1970-02-01,16899999999.999998
1970-03-01,17000000000
1970-04-01,17000000000
1970-05-01,16899999999.999998
1970-06-01,17000000000
1970-07-01,17200000000
1970-08-01,17300000000
1970-09-01,17200000000
1970-10-01,17400000000
1970-11-01,17500000000
1970-12-01,17700000000
1971-01-01,17900000000
1971-02-01,18200000000
1971-03-01,18500000000
1971-04-01,18600000000
1971-05-01,19000000000
1971-06-01,19400000000
1971-07-01,19300000000
1971-08-01,19800000000
1971-09-01,20100000000
1971-10-01,20100000000
1971-11-01,20500000000
1971-12-01,20800000000
1972-01-01,20900000000
1972-02-01,21100000000
1972-03-01,21400000000
1972-04-01,21600000000
1972-05-01,21700000000
1972-06-01,22000000000
1972-07-01,22200000000
1972-08-01,22600000000
1972-09-01,23000000000
1972-10-01,23400000000
1972-11-01,23800000000
1972-12-01,23900000000
1973-01-01,24300000000
1973-02-01,24500000000
1973-03-01,24500000000
1973-04-01,25100000000
1973-05-01,25400000000
1973-06-01,25400000000
1973-07-01,25900000000
1973-08-01,26000000000
1973-09-01,26200000000
1973-10-01,26500000000
1973-11-01,26500000000
1973-12-01,26600000000
1974-01-01,27000000000
1974-02-01,27100000000
1974-03-01,27400000000
1974-04-01,28400000000
1974-05-01,28900000000
1974-06-01,28100000000
1974-07-01,28000000000
1974-08-01,27900000000
1974-09-01,28100000000
1974-10-01,28000000000
1974-11-01,28200000000
1974-12-01,28300000000
1975-01-01,29000000000
1975-02-01,29800000000
1975-03-01,30683000000.0
1975-04-01,31011000000.0
1975-05-01,31034000000.0
1975-06-01,31152000000.0
1975-07-01,31955000000.0
1975-08-01,31988000000.0
1975-09-01,32411000000.0
1975-10-01,32673000000.0
1975-11-01,32970000000.0
1975-12-01,33978000000.0
1976-01-01,33191000000.000004
1976-02-01,33269000000.0
1976-03-01,33801000000.000004
1976-04-01,33604000000.0
1976-05-01,33781000000.0
1976-06-01,34189000000.0
1976-07-01,33909999999.999996
1976-08-01,34156999999.999996
1976-09-01,34397000000.0
1976-10-01,34389000000.0
1976-11-01,34500000000.0
1976-12-01,34804000000.0
