,REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,VALUE
0,1981-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
1,1981-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
2,1981-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
3,1981-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
4,1981-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
5,1981-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
6,1981-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
7,1981-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
8,1981-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
9,1981-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
10,1981-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
11,1981-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
12,1982-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
13,1982-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
14,1982-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
15,1982-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
16,1982-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
17,1982-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
18,1982-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
19,1982-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
20,1982-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
21,1982-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
22,1982-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
23,1982-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
24,1983-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
25,1983-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
26,1983-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
27,1983-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
28,1983-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
29,1983-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
30,1983-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
31,1983-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
32,1983-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
33,1983-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
34,1983-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
35,1983-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
36,1984-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
37,1984-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
38,1984-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
39,1984-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
40,1984-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
41,1984-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
42,1984-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
43,1984-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
44,1984-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
45,1984-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
46,1984-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
47,1984-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
48,1985-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
49,1985-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
50,1985-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
51,1985-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
52,1985-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
53,1985-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
54,1985-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
55,1985-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
56,1985-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
57,1985-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
58,1985-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
59,1985-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,
60,1986-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,52.8
61,1986-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,52.9
62,1986-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,52.9
63,1986-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.1
64,1986-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.0
65,1986-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.1
66,1986-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.1
67,1986-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.4
68,1986-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.5
69,1986-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.5
70,1986-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.7
71,1986-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.9
72,1987-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,53.9
73,1987-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,54.5
74,1987-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,54.6
75,1987-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,54.6
76,1987-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,55.1
77,1987-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,55.3
78,1987-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,55.3
79,1987-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,55.4
80,1987-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,55.5
81,1987-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,55.6
82,1987-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,55.7
83,1987-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,55.7
84,1988-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,55.7
85,1988-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,56.0
86,1988-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,56.2
87,1988-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,56.7
88,1988-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,56.8
89,1988-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,56.8
90,1988-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,56.8
91,1988-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,57.0
92,1988-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,57.6
93,1988-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,57.6
94,1988-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,57.8
95,1988-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,57.8
96,1989-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,57.9
97,1989-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,58.5
98,1989-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,58.5
99,1989-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,58.5
100,1989-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,58.6
101,1989-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,58.5
102,1989-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,58.5
103,1989-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,58.5
104,1989-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
105,1989-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
106,1989-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
107,1989-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
108,1990-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,58.8
109,1990-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
110,1990-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
111,1990-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
112,1990-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
113,1990-06,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
114,1990-07,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
115,1990-08,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
116,1990-09,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.2
117,1990-10,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.2
118,1990-11,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
119,1990-12,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
120,1991-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,59.0
121,1991-02,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,60.3
122,1991-03,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,60.6
123,1991-04,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,60.4
124,1991-05,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,60.4
