,REF_DATE,montreal_aptBldg_BCPI,moncton_highriseBldg_BCPI,montreal_lowriseBldg_BCPI,montreal_residbld_BCPI,montreal_singdethouse_BCPI,montreal_townhouse_BCPI
0,1988-01,,,,,,
1,1988-04,,,,,,
2,1988-07,,,,,,
3,1988-10,,,,,,
4,1989-01,,,,,,
5,1989-04,,,,,,
6,1989-07,,,,,,
7,1989-10,,,,,,
8,1990-01,,,,,,
9,1990-04,,,,,,
10,1990-07,,,,,,
11,1990-10,,,,,,
12,1991-01,,,,,,
13,1991-04,,,,,,
14,1991-07,,,,,,
15,1991-10,,,,,,
16,1992-01,,,,,,
17,1992-04,,,,,,
18,1992-07,,,,,,
19,1992-10,,,,,,
20,1993-01,,,,,,
21,1993-04,,,,,,
22,1993-07,,,,,,
23,1993-10,,,,,,
24,1994-01,,,,,,
25,1994-04,,,,,,
26,1994-07,,,,,,
27,1994-10,,,,,,
28,1995-01,,,,,,
29,1995-04,,,,,,
30,1995-07,,,,,,
31,1995-10,,,,,,
32,1996-01,,,,,,
33,1996-04,,,,,,
34,1996-07,,,,,,
35,1996-10,,,,,,
36,1997-01,,,,,,
37,1997-04,,,,,,
38,1997-07,,,,,,
39,1997-10,,,,,,
40,1998-01,,,,,,
41,1998-04,,,,,,
42,1998-07,,,,,,
43,1998-10,,,,,,
44,1999-01,,,,,,
45,1999-04,,,,,,
46,1999-07,,,,,,
47,1999-10,,,,,,
48,2000-01,,,,,,
49,2000-04,,,,,,
50,2000-07,,,,,,
51,2000-10,,,,,,
52,2001-01,,,,,,
53,2001-04,,,,,,
54,2001-07,,,,,,
55,2001-10,,,,,,
56,2002-01,,,,,,
57,2002-04,,,,,,
58,2002-07,,,,,,
59,2002-10,,,,,,
60,2003-01,,,,,,
61,2003-04,,,,,,
62,2003-07,,,,,,
63,2003-10,,,,,,
64,2004-01,,,,,,
65,2004-04,,,,,,
66,2004-07,,,,,,
67,2004-10,,,,,,
68,2005-01,,,,,,
69,2005-04,,,,,,
70,2005-07,,,,,,
71,2005-10,,,,,,
72,2006-01,,,,,,
73,2006-04,,,,,,
74,2006-07,,,,,,
75,2006-10,,,,,,
76,2007-01,,,,,,
77,2007-04,,,,,,
78,2007-07,,,,,,
79,2007-10,,,,,,
80,2008-01,,,,,,
81,2008-04,,,,,,
82,2008-07,,,,,,
83,2008-10,,,,,,
84,2009-01,,,,,,
85,2009-04,,,,,,
86,2009-07,,,,,,
87,2009-10,,,,,,
88,2010-01,,,,,,
89,2010-04,,,,,,
90,2010-07,,,,,,
91,2010-10,,,,,,
92,2011-01,,,,,,
93,2011-04,,,,,,
94,2011-07,,,,,,
95,2011-10,,,,,,
96,2012-01,,,,,,
97,2012-04,,,,,,
98,2012-07,,,,,,
99,2012-10,,,,,,
100,2013-01,,,,,,
101,2013-04,,,,,,
102,2013-07,,,,,,
103,2013-10,,,,,,
104,2014-01,,,,,,
105,2014-04,,,,,,
106,2014-07,,,,,,
107,2014-10,,,,,,
108,2015-01,,,,,,
109,2015-04,,,,,,
110,2015-07,,,,,,
111,2015-10,,,,,,
112,2016-01,,,,,,
113,2016-04,,,,,,
114,2016-07,,,,,,
115,2016-10,,,,,,
116,2017-01,98.8,99.4,98.8,98.7,98.5,98.5
117,2017-04,99.8,99.9,99.8,99.7,99.4,99.5
118,2017-07,100.5,100.3,100.5,100.7,100.9,100.9
119,2017-10,100.9,100.4,100.8,101.0,101.2,101.2
120,2018-01,101.8,100.8,101.8,101.9,102.0,102.0
121,2018-04,102.8,102.1,102.8,102.7,102.6,102.8
122,2018-07,103.9,103.1,103.9,103.7,103.4,103.5
123,2018-10,104.8,104.8,104.8,104.6,104.1,104.2
124,2019-01,106.3,105.3,106.3,106.2,105.8,105.9
125,2019-04,107.3,106.0,107.3,107.1,106.6,106.8
126,2019-07,108.0,106.3,108.0,107.8,107.2,107.5
127,2019-10,108.9,106.7,108.9,108.6,108.1,108.3
128,2020-01,109.7,107.3,109.7,109.5,109.0,109.1
129,2020-04,110.6,108.0,110.6,110.3,109.7,110.0
130,2020-07,113.4,108.8,113.6,113.1,112.4,112.9
131,2020-10,115.2,108.6,115.5,114.9,114.2,114.8
132,2021-01,119.7,109.7,120.4,119.4,118.4,119.3
133,2021-04,125.0,113.1,125.9,124.6,123.6,124.5
134,2021-07,129.7,114.8,130.9,129.5,128.7,130.1
135,2021-10,136.1,117.5,137.5,135.9,134.9,136.8
136,2022-01,142.4,120.4,144.0,142.0,140.8,142.9
137,2022-04,146.8,124.6,148.5,146.5,145.4,147.3
138,2022-07,149.3,126.3,151.0,148.9,147.7,149.6
