,REF_DATE,toronto_aptBldg_BCPI,toronto_highriseBldg_BCPI,toronto_lowriseBldg_BCPI,toronto_residbld_BCPI,toronto_townhouse_BCPI,toronto_singdethouse_BCPI
0,1988-01,,44.2,,,,
1,1988-04,,45.4,,,,
2,1988-07,,45.9,,,,
3,1988-10,,46.4,,,,
4,1989-01,,47.2,,,,
5,1989-04,,48.1,,,,
6,1989-07,,48.5,,,,
7,1989-10,,48.8,,,,
8,1990-01,,49.2,,,,
9,1990-04,,50.2,,,,
10,1990-07,,49.4,,,,
11,1990-10,,48.9,,,,
12,1991-01,,47.7,,,,
13,1991-04,,47.7,,,,
14,1991-07,,47.2,,,,
15,1991-10,,47.2,,,,
16,1992-01,,47.2,,,,
17,1992-04,,47.2,,,,
18,1992-07,,47.2,,,,
19,1992-10,,47.4,,,,
20,1993-01,,47.2,,,,
21,1993-04,,47.5,,,,
22,1993-07,,47.7,,,,
23,1993-10,,47.9,,,,
24,1994-01,,48.0,,,,
25,1994-04,,48.8,,,,
26,1994-07,,49.1,,,,
27,1994-10,,49.3,,,,
28,1995-01,,50.0,,,,
29,1995-04,,50.0,,,,
30,1995-07,,50.3,,,,
31,1995-10,,50.6,,,,
32,1996-01,,50.7,,,,
33,1996-04,,51.0,,,,
34,1996-07,,51.1,,,,
35,1996-10,,51.4,,,,
36,1997-01,,51.6,,,,
37,1997-04,,51.9,,,,
38,1997-07,,52.1,,,,
39,1997-10,,52.2,,,,
40,1998-01,,52.5,,,,
41,1998-04,,52.8,,,,
42,1998-07,,53.0,,,,
43,1998-10,,53.4,,,,
44,1999-01,,53.7,,,,
45,1999-04,,54.3,,,,
46,1999-07,,54.7,,,,
47,1999-10,,55.0,,,,
48,2000-01,,56.0,,,,
49,2000-04,,58.3,,,,
50,2000-07,,59.3,,,,
51,2000-10,,60.1,,,,
52,2001-01,,60.2,,,,
53,2001-04,,60.8,,,,
54,2001-07,,61.0,,,,
55,2001-10,,60.9,,,,
56,2002-01,,61.5,,,,
57,2002-04,,62.2,,,,
58,2002-07,,62.7,,,,
59,2002-10,,63.5,,,,
60,2003-01,,64.0,,,,
61,2003-04,,64.8,,,,
62,2003-07,,65.0,,,,
63,2003-10,,65.7,,,,
64,2004-01,,66.6,,,,
65,2004-04,,68.5,,,,
66,2004-07,,70.0,,,,
67,2004-10,,70.7,,,,
68,2005-01,,70.9,,,,
69,2005-04,,72.0,,,,
70,2005-07,,72.9,,,,
71,2005-10,,73.7,,,,
72,2006-01,,74.7,,,,
73,2006-04,,76.3,,,,
74,2006-07,,77.9,,,,
75,2006-10,,78.5,,,,
76,2007-01,,79.4,,,,
77,2007-04,,81.2,,,,
78,2007-07,,81.8,,,,
79,2007-10,,82.2,,,,
80,2008-01,,84.2,,,,
81,2008-04,,88.0,,,,
82,2008-07,,89.2,,,,
83,2008-10,,88.2,,,,
84,2009-01,,86.6,,,,
85,2009-04,,85.7,,,,
86,2009-07,,84.9,,,,
87,2009-10,,84.5,,,,
88,2010-01,,84.6,,,,
89,2010-04,,85.5,,,,
90,2010-07,,85.6,,,,
91,2010-10,,85.7,,,,
92,2011-01,,87.2,,,,
93,2011-04,,88.5,,,,
94,2011-07,,89.1,,,,
95,2011-10,,89.3,,,,
96,2012-01,,89.7,,,,
97,2012-04,,90.3,,,,
98,2012-07,,90.3,,,,
99,2012-10,,90.6,,,,
100,2013-01,,90.5,,,,
101,2013-04,,90.8,,,,
102,2013-07,,90.8,,,,
103,2013-10,,90.8,,,,
104,2014-01,,91.2,,,,
105,2014-04,,91.9,,,,
106,2014-07,,92.1,,,,
107,2014-10,,92.6,,,,
108,2015-01,,93.3,,,,
109,2015-04,,93.7,,,,
110,2015-07,,94.1,,,,
111,2015-10,,94.3,,,,
112,2016-01,,94.8,,,,
113,2016-04,,96.0,,,,
114,2016-07,,96.2,,,,
115,2016-10,,96.8,,,,
116,2017-01,97.5,97.8,97.2,96.8,96.4,96.4
117,2017-04,98.9,99.1,98.6,98.3,98.0,97.9
118,2017-07,101.3,101.1,101.5,101.8,102.1,102.1
119,2017-10,102.4,102.0,102.7,103.2,103.5,103.6
120,2018-01,104.2,103.6,104.7,105.1,105.4,105.6
121,2018-04,107.1,106.2,107.9,108.2,108.5,108.8
122,2018-07,108.2,107.4,108.9,109.2,109.4,109.7
123,2018-10,108.4,107.8,108.9,109.0,109.2,109.4
124,2019-01,108.3,107.8,108.6,108.8,108.9,109.1
125,2019-04,109.2,108.7,109.6,109.7,109.7,109.9
126,2019-07,109.8,109.2,110.3,110.5,110.7,110.9
127,2019-10,110.1,109.6,110.6,110.7,110.8,111.0
128,2020-01,110.5,110.1,110.8,111.0,110.9,111.3
129,2020-04,111.2,110.8,111.5,111.7,111.7,112.0
130,2020-07,113.9,112.5,115.2,114.9,115.6,115.7
131,2020-10,116.3,113.0,119.9,119.1,121.5,121.2
132,2021-01,121.7,116.4,128.6,126.4,131.0,131.3
133,2021-04,130.9,123.7,140.9,136.8,143.0,143.1
134,2021-07,136.3,128.9,146.7,143.1,149.8,150.7
135,2021-10,142.0,134.0,153.3,149.7,157.2,158.6
136,2022-01,150.8,141.5,164.3,160.2,169.1,171.7
137,2022-04,162.1,150.6,179.4,173.0,184.4,186.4
138,2022-07,168.8,156.4,187.6,180.2,192.2,194.2
