,REF_DATE,vancouver_aptBldg_BCPI,vancouver_highriseBldg_BCPI,vancouver_lowriseBldg_BCPI,vancouver_residbld_BCPI,vancouver_singdethouse_BCPI,vancouver_townhouse_BCPI
0,1988-01,,43.7,,,,
1,1988-04,,43.9,,,,
2,1988-07,,45.1,,,,
3,1988-10,,45.9,,,,
4,1989-01,,47.2,,,,
5,1989-04,,47.9,,,,
6,1989-07,,48.6,,,,
7,1989-10,,49.3,,,,
8,1990-01,,50.0,,,,
9,1990-04,,50.3,,,,
10,1990-07,,49.9,,,,
11,1990-10,,49.9,,,,
12,1991-01,,48.8,,,,
13,1991-04,,48.7,,,,
14,1991-07,,48.4,,,,
15,1991-10,,48.7,,,,
16,1992-01,,48.8,,,,
17,1992-04,,49.4,,,,
18,1992-07,,49.7,,,,
19,1992-10,,49.9,,,,
20,1993-01,,49.8,,,,
21,1993-04,,50.6,,,,
22,1993-07,,50.9,,,,
23,1993-10,,51.1,,,,
24,1994-01,,51.5,,,,
25,1994-04,,51.6,,,,
26,1994-07,,52.0,,,,
27,1994-10,,52.2,,,,
28,1995-01,,53.1,,,,
29,1995-04,,53.6,,,,
30,1995-07,,53.6,,,,
31,1995-10,,53.6,,,,
32,1996-01,,53.8,,,,
33,1996-04,,54.2,,,,
34,1996-07,,54.3,,,,
35,1996-10,,54.4,,,,
36,1997-01,,54.8,,,,
37,1997-04,,55.2,,,,
38,1997-07,,55.4,,,,
39,1997-10,,55.5,,,,
40,1998-01,,56.1,,,,
41,1998-04,,56.1,,,,
42,1998-07,,56.3,,,,
43,1998-10,,56.4,,,,
44,1999-01,,56.6,,,,
45,1999-04,,56.9,,,,
46,1999-07,,56.9,,,,
47,1999-10,,57.0,,,,
48,2000-01,,57.4,,,,
49,2000-04,,57.8,,,,
50,2000-07,,58.4,,,,
51,2000-10,,58.6,,,,
52,2001-01,,58.7,,,,
53,2001-04,,58.8,,,,
54,2001-07,,59.1,,,,
55,2001-10,,59.2,,,,
56,2002-01,,59.5,,,,
57,2002-04,,59.8,,,,
58,2002-07,,60.0,,,,
59,2002-10,,60.0,,,,
60,2003-01,,60.4,,,,
61,2003-04,,60.4,,,,
62,2003-07,,60.6,,,,
63,2003-10,,61.1,,,,
64,2004-01,,63.4,,,,
65,2004-04,,65.8,,,,
66,2004-07,,67.1,,,,
67,2004-10,,68.0,,,,
68,2005-01,,68.3,,,,
69,2005-04,,70.1,,,,
70,2005-07,,71.6,,,,
71,2005-10,,72.8,,,,
72,2006-01,,73.8,,,,
73,2006-04,,77.3,,,,
74,2006-07,,80.6,,,,
75,2006-10,,84.3,,,,
76,2007-01,,85.9,,,,
77,2007-04,,89.5,,,,
78,2007-07,,91.7,,,,
79,2007-10,,92.4,,,,
80,2008-01,,94.4,,,,
81,2008-04,,97.5,,,,
82,2008-07,,97.8,,,,
83,2008-10,,93.2,,,,
84,2009-01,,83.4,,,,
85,2009-04,,82.9,,,,
86,2009-07,,79.7,,,,
87,2009-10,,79.7,,,,
88,2010-01,,78.9,,,,
89,2010-04,,80.3,,,,
90,2010-07,,80.6,,,,
91,2010-10,,81.2,,,,
92,2011-01,,81.9,,,,
93,2011-04,,82.8,,,,
94,2011-07,,83.5,,,,
95,2011-10,,84.1,,,,
96,2012-01,,85.6,,,,
97,2012-04,,86.2,,,,
98,2012-07,,86.4,,,,
99,2012-10,,86.6,,,,
100,2013-01,,86.7,,,,
101,2013-04,,88.9,,,,
102,2013-07,,89.3,,,,
103,2013-10,,89.3,,,,
104,2014-01,,89.5,,,,
105,2014-04,,90.0,,,,
106,2014-07,,90.4,,,,
107,2014-10,,90.1,,,,
108,2015-01,,90.8,,,,
109,2015-04,,91.4,,,,
110,2015-07,,91.6,,,,
111,2015-10,,91.3,,,,
112,2016-01,,90.1,,,,
113,2016-04,,91.3,,,,
114,2016-07,,92.5,,,,
115,2016-10,,93.8,,,,
116,2017-01,96.6,97.0,96.1,96.3,95.9,95.4
117,2017-04,99.4,99.4,99.3,99.2,99.1,99.0
118,2017-07,101.1,100.9,101.3,101.3,101.5,101.8
119,2017-10,102.9,102.7,103.3,103.2,103.5,103.7
120,2018-01,105.0,104.5,105.6,105.4,105.9,106.2
121,2018-04,106.8,106.5,107.2,107.3,108.1,108.2
122,2018-07,108.1,107.9,108.3,108.4,108.7,109.0
123,2018-10,109.2,109.0,109.5,109.6,110.1,110.2
124,2019-01,111.7,111.5,112.0,112.1,112.6,112.8
125,2019-04,112.1,111.9,112.3,112.5,113.0,113.1
126,2019-07,112.6,112.4,112.9,113.0,113.7,113.8
127,2019-10,113.4,113.1,113.7,113.8,114.5,114.6
128,2020-01,114.2,113.8,114.7,114.7,115.3,115.5
129,2020-04,114.5,114.1,115.0,114.9,115.4,115.7
130,2020-07,116.3,114.7,117.8,117.0,117.8,118.6
131,2020-10,116.9,114.6,118.8,117.8,119.4,120.0
132,2021-01,120.1,115.5,123.8,121.1,123.0,124.2
133,2021-04,123.7,118.7,127.8,125.2,128.6,129.1
134,2021-07,126.7,121.3,131.0,128.4,132.4,133.0
135,2021-10,132.1,125.7,137.1,133.9,138.1,138.8
136,2022-01,137.7,129.8,144.4,139.9,145.4,146.2
137,2022-04,141.7,133.8,148.4,144.0,149.8,150.4
138,2022-07,144.4,136.5,150.9,146.7,152.6,152.9
