,REF_DATE,winnipeg_aptBldg_BCPI,winnipeg_highriseBldg_BCPI,winnipeg_lowriseBldg_BCPI,winnipeg_residbld_BCPI,winnipeg_singdethouse_BCPI,winnipeg_townhouse_BCPI
0,1988-01,,,,,,
1,1988-04,,,,,,
2,1988-07,,,,,,
3,1988-10,,,,,,
4,1989-01,,,,,,
5,1989-04,,,,,,
6,1989-07,,,,,,
7,1989-10,,,,,,
8,1990-01,,,,,,
9,1990-04,,,,,,
10,1990-07,,,,,,
11,1990-10,,,,,,
12,1991-01,,,,,,
13,1991-04,,,,,,
14,1991-07,,,,,,
15,1991-10,,,,,,
16,1992-01,,,,,,
17,1992-04,,,,,,
18,1992-07,,,,,,
19,1992-10,,,,,,
20,1993-01,,,,,,
21,1993-04,,,,,,
22,1993-07,,,,,,
23,1993-10,,,,,,
24,1994-01,,,,,,
25,1994-04,,,,,,
26,1994-07,,,,,,
27,1994-10,,,,,,
28,1995-01,,,,,,
29,1995-04,,,,,,
30,1995-07,,,,,,
31,1995-10,,,,,,
32,1996-01,,,,,,
33,1996-04,,,,,,
34,1996-07,,,,,,
35,1996-10,,,,,,
36,1997-01,,,,,,
37,1997-04,,,,,,
38,1997-07,,,,,,
39,1997-10,,,,,,
40,1998-01,,,,,,
41,1998-04,,,,,,
42,1998-07,,,,,,
43,1998-10,,,,,,
44,1999-01,,,,,,
45,1999-04,,,,,,
46,1999-07,,,,,,
47,1999-10,,,,,,
48,2000-01,,,,,,
49,2000-04,,,,,,
50,2000-07,,,,,,
51,2000-10,,,,,,
52,2001-01,,,,,,
53,2001-04,,,,,,
54,2001-07,,,,,,
55,2001-10,,,,,,
56,2002-01,,,,,,
57,2002-04,,,,,,
58,2002-07,,,,,,
59,2002-10,,,,,,
60,2003-01,,,,,,
61,2003-04,,,,,,
62,2003-07,,,,,,
63,2003-10,,,,,,
64,2004-01,,,,,,
65,2004-04,,,,,,
66,2004-07,,,,,,
67,2004-10,,,,,,
68,2005-01,,,,,,
69,2005-04,,,,,,
70,2005-07,,,,,,
71,2005-10,,,,,,
72,2006-01,,,,,,
73,2006-04,,,,,,
74,2006-07,,,,,,
75,2006-10,,,,,,
76,2007-01,,,,,,
77,2007-04,,,,,,
78,2007-07,,,,,,
79,2007-10,,,,,,
80,2008-01,,,,,,
81,2008-04,,,,,,
82,2008-07,,,,,,
83,2008-10,,,,,,
84,2009-01,,,,,,
85,2009-04,,,,,,
86,2009-07,,,,,,
87,2009-10,,,,,,
88,2010-01,,,,,,
89,2010-04,,,,,,
90,2010-07,,,,,,
91,2010-10,,,,,,
92,2011-01,,,,,,
93,2011-04,,,,,,
94,2011-07,,,,,,
95,2011-10,,,,,,
96,2012-01,,,,,,
97,2012-04,,,,,,
98,2012-07,,,,,,
99,2012-10,,,,,,
100,2013-01,,,,,,
101,2013-04,,,,,,
102,2013-07,,,,,,
103,2013-10,,,,,,
104,2014-01,,,,,,
105,2014-04,,,,,,
106,2014-07,,,,,,
107,2014-10,,,,,,
108,2015-01,,,,,,
109,2015-04,,,,,,
110,2015-07,,,,,,
111,2015-10,,,,,,
112,2016-01,,,,,,
113,2016-04,,,,,,
114,2016-07,,,,,,
115,2016-10,,,,,,
116,2017-01,97.0,99.1,96.6,96.3,96.1,95.4
117,2017-04,99.6,99.8,99.5,99.3,99.1,99.0
118,2017-07,101.0,100.4,101.1,101.4,101.5,101.8
119,2017-10,102.4,100.7,102.7,103.0,103.2,103.7
120,2018-01,108.4,101.4,109.7,110.0,110.5,112.6
121,2018-04,109.4,102.2,110.7,111.0,111.5,113.6
122,2018-07,110.1,102.7,111.5,111.7,112.1,114.4
123,2018-10,111.0,103.6,112.4,112.4,112.7,115.0
124,2019-01,111.5,103.9,112.9,113.0,113.4,115.7
125,2019-04,111.9,104.2,113.3,113.3,113.7,116.0
126,2019-07,112.1,104.5,113.5,113.6,113.9,116.4
127,2019-10,112.4,104.7,113.9,113.9,114.3,116.7
128,2020-01,112.8,105.0,114.3,114.4,114.8,117.2
129,2020-04,113.2,105.2,114.7,114.8,115.2,117.6
130,2020-07,115.5,106.2,117.3,117.3,117.8,120.2
131,2020-10,116.5,105.9,118.5,119.0,120.1,122.2
132,2021-01,119.8,106.8,122.6,122.7,124.2,126.2
133,2021-04,127.3,109.5,131.5,131.5,133.8,136.0
134,2021-07,130.9,112.9,135.0,135.8,138.7,140.7
135,2021-10,134.0,115.0,138.4,138.9,141.8,144.1
136,2022-01,138.9,118.2,144.0,144.4,147.6,150.0
137,2022-04,141.8,120.6,147.0,147.7,151.2,153.7
138,2022-07,143.9,122.3,149.1,149.6,153.0,155.9
