,REF_DATE,GEO,New housing price indexes,UOM,HPI_calgary_alb
0,1981-01,"Calgary, Alberta",House only,"Index, 201612=100",27.8
1,1981-02,"Calgary, Alberta",House only,"Index, 201612=100",28.1
2,1981-03,"Calgary, Alberta",House only,"Index, 201612=100",28.6
3,1981-04,"Calgary, Alberta",House only,"Index, 201612=100",30.1
4,1981-05,"Calgary, Alberta",House only,"Index, 201612=100",30.1
5,1981-06,"Calgary, Alberta",House only,"Index, 201612=100",30.6
6,1981-07,"Calgary, Alberta",House only,"Index, 201612=100",30.6
7,1981-08,"Calgary, Alberta",House only,"Index, 201612=100",30.7
8,1981-09,"Calgary, Alberta",House only,"Index, 201612=100",30.7
9,1981-10,"Calgary, Alberta",House only,"Index, 201612=100",30.8
10,1981-11,"Calgary, Alberta",House only,"Index, 201612=100",31.0
11,1981-12,"Calgary, Alberta",House only,"Index, 201612=100",31.1
12,1982-01,"Calgary, Alberta",House only,"Index, 201612=100",31.3
13,1982-02,"Calgary, Alberta",House only,"Index, 201612=100",31.6
14,1982-03,"Calgary, Alberta",House only,"Index, 201612=100",31.7
15,1982-04,"Calgary, Alberta",House only,"Index, 201612=100",31.7
16,1982-05,"Calgary, Alberta",House only,"Index, 201612=100",31.6
17,1982-06,"Calgary, Alberta",House only,"Index, 201612=100",31.1
18,1982-07,"Calgary, Alberta",House only,"Index, 201612=100",30.9
19,1982-08,"Calgary, Alberta",House only,"Index, 201612=100",30.6
20,1982-09,"Calgary, Alberta",House only,"Index, 201612=100",28.7
21,1982-10,"Calgary, Alberta",House only,"Index, 201612=100",28.3
22,1982-11,"Calgary, Alberta",House only,"Index, 201612=100",28.1
23,1982-12,"Calgary, Alberta",House only,"Index, 201612=100",28.0
24,1983-01,"Calgary, Alberta",House only,"Index, 201612=100",27.2
25,1983-02,"Calgary, Alberta",House only,"Index, 201612=100",27.4
26,1983-03,"Calgary, Alberta",House only,"Index, 201612=100",27.0
27,1983-04,"Calgary, Alberta",House only,"Index, 201612=100",26.1
28,1983-05,"Calgary, Alberta",House only,"Index, 201612=100",25.0
29,1983-06,"Calgary, Alberta",House only,"Index, 201612=100",24.9
30,1983-07,"Calgary, Alberta",House only,"Index, 201612=100",24.9
31,1983-08,"Calgary, Alberta",House only,"Index, 201612=100",24.8
32,1983-09,"Calgary, Alberta",House only,"Index, 201612=100",24.5
33,1983-10,"Calgary, Alberta",House only,"Index, 201612=100",24.2
34,1983-11,"Calgary, Alberta",House only,"Index, 201612=100",24.0
35,1983-12,"Calgary, Alberta",House only,"Index, 201612=100",23.3
36,1984-01,"Calgary, Alberta",House only,"Index, 201612=100",23.1
37,1984-02,"Calgary, Alberta",House only,"Index, 201612=100",23.2
38,1984-03,"Calgary, Alberta",House only,"Index, 201612=100",23.2
39,1984-04,"Calgary, Alberta",House only,"Index, 201612=100",23.2
40,1984-05,"Calgary, Alberta",House only,"Index, 201612=100",23.3
41,1984-06,"Calgary, Alberta",House only,"Index, 201612=100",22.9
42,1984-07,"Calgary, Alberta",House only,"Index, 201612=100",22.9
43,1984-08,"Calgary, Alberta",House only,"Index, 201612=100",22.7
44,1984-09,"Calgary, Alberta",House only,"Index, 201612=100",22.6
45,1984-10,"Calgary, Alberta",House only,"Index, 201612=100",22.6
46,1984-11,"Calgary, Alberta",House only,"Index, 201612=100",22.7
47,1984-12,"Calgary, Alberta",House only,"Index, 201612=100",22.7
48,1985-01,"Calgary, Alberta",House only,"Index, 201612=100",22.7
49,1985-02,"Calgary, Alberta",House only,"Index, 201612=100",23.0
50,1985-03,"Calgary, Alberta",House only,"Index, 201612=100",22.9
51,1985-04,"Calgary, Alberta",House only,"Index, 201612=100",22.9
52,1985-05,"Calgary, Alberta",House only,"Index, 201612=100",23.1
53,1985-06,"Calgary, Alberta",House only,"Index, 201612=100",23.2
54,1985-07,"Calgary, Alberta",House only,"Index, 201612=100",23.3
55,1985-08,"Calgary, Alberta",House only,"Index, 201612=100",23.5
56,1985-09,"Calgary, Alberta",House only,"Index, 201612=100",23.8
57,1985-10,"Calgary, Alberta",House only,"Index, 201612=100",24.2
58,1985-11,"Calgary, Alberta",House only,"Index, 201612=100",24.3
59,1985-12,"Calgary, Alberta",House only,"Index, 201612=100",24.4
60,1986-01,"Calgary, Alberta",House only,"Index, 201612=100",25.0
61,1986-02,"Calgary, Alberta",House only,"Index, 201612=100",25.3
62,1986-03,"Calgary, Alberta",House only,"Index, 201612=100",25.6
63,1986-04,"Calgary, Alberta",House only,"Index, 201612=100",25.5
64,1986-05,"Calgary, Alberta",House only,"Index, 201612=100",25.4
65,1986-06,"Calgary, Alberta",House only,"Index, 201612=100",25.6
66,1986-07,"Calgary, Alberta",House only,"Index, 201612=100",25.6
67,1986-08,"Calgary, Alberta",House only,"Index, 201612=100",25.6
68,1986-09,"Calgary, Alberta",House only,"Index, 201612=100",25.6
69,1986-10,"Calgary, Alberta",House only,"Index, 201612=100",25.7
70,1986-11,"Calgary, Alberta",House only,"Index, 201612=100",25.7
71,1986-12,"Calgary, Alberta",House only,"Index, 201612=100",25.7
72,1987-01,"Calgary, Alberta",House only,"Index, 201612=100",25.8
73,1987-02,"Calgary, Alberta",House only,"Index, 201612=100",25.8
74,1987-03,"Calgary, Alberta",House only,"Index, 201612=100",26.2
75,1987-04,"Calgary, Alberta",House only,"Index, 201612=100",26.3
76,1987-05,"Calgary, Alberta",House only,"Index, 201612=100",26.3
77,1987-06,"Calgary, Alberta",House only,"Index, 201612=100",26.4
78,1987-07,"Calgary, Alberta",House only,"Index, 201612=100",26.5
79,1987-08,"Calgary, Alberta",House only,"Index, 201612=100",26.6
80,1987-09,"Calgary, Alberta",House only,"Index, 201612=100",26.7
81,1987-10,"Calgary, Alberta",House only,"Index, 201612=100",27.2
82,1987-11,"Calgary, Alberta",House only,"Index, 201612=100",27.2
83,1987-12,"Calgary, Alberta",House only,"Index, 201612=100",27.2
84,1988-01,"Calgary, Alberta",House only,"Index, 201612=100",27.8
85,1988-02,"Calgary, Alberta",House only,"Index, 201612=100",27.8
86,1988-03,"Calgary, Alberta",House only,"Index, 201612=100",27.9
87,1988-04,"Calgary, Alberta",House only,"Index, 201612=100",28.2
88,1988-05,"Calgary, Alberta",House only,"Index, 201612=100",28.2
89,1988-06,"Calgary, Alberta",House only,"Index, 201612=100",28.3
90,1988-07,"Calgary, Alberta",House only,"Index, 201612=100",28.4
91,1988-08,"Calgary, Alberta",House only,"Index, 201612=100",28.7
92,1988-09,"Calgary, Alberta",House only,"Index, 201612=100",28.7
93,1988-10,"Calgary, Alberta",House only,"Index, 201612=100",28.9
94,1988-11,"Calgary, Alberta",House only,"Index, 201612=100",28.9
95,1988-12,"Calgary, Alberta",House only,"Index, 201612=100",28.8
96,1989-01,"Calgary, Alberta",House only,"Index, 201612=100",28.8
97,1989-02,"Calgary, Alberta",House only,"Index, 201612=100",29.0
