,REF_DATE,GEO_x,New housing price indexes_x,UOM_x,HPI_atlantic,GEO_y,New housing price indexes_y,UOM_y,HPI_nfland_labrador,GEO_x,New housing price indexes_x,UOM_x,HPI_charlottetown_pei,GEO_y,New housing price indexes_y,UOM_y,HPI_halifax_ns,GEO_x,New housing price indexes_x,UOM_x,HPI_stjohn_fredericton_moncton,GEO_y,New housing price indexes_y,UOM_y,HPI_quebec_qc,GEO_x,New housing price indexes_x,UOM_x,HPI_sherbrooke_qc,GEO_y,New housing price indexes_y,UOM_y,HPI_troisriv_qc,GEO_x,New housing price indexes_x,UOM_x,HPI_mtl_qc,GEO_y,New housing price indexes_y,UOM_y,HPI_ottawa_gatineau_qc,GEO_x,New housing price indexes_x,UOM_x,HPI_ottawa_gatineau_ont,GEO_y,New housing price indexes_y,UOM_y,HPI_oshawa_ont,GEO_x,New housing price indexes_x,UOM_x,HPI_toronto_ont,GEO_y,New housing price indexes_y,UOM_y,HPI_hamilton_ont,GEO_x,New housing price indexes_x,UOM_x,HPI_guelph_ont,GEO_y,New housing price indexes_y,UOM_y,HPI_london_ont,GEO_x,New housing price indexes_x,UOM_x,HPI_windsor_ont,GEO_y,New housing price indexes_y,UOM_y,HPI_sudbury_ont,GEO_x,New housing price indexes_x,UOM_x,HPI_prairie_region,GEO_y,New housing price indexes_y,UOM_y,HPI_winnipeg_manitoba,GEO_x,New housing price indexes_x,UOM_x,HPI_edmonton_alb,GEO_y,New housing price indexes_y,UOM_y,HPI_calgary_alb,GEO_x,New housing price indexes_x,UOM_x,HPI_victoria_bc,GEO_y,New housing price indexes_y,UOM_y,HPI_vancouver_bc,GEO,New housing price indexes,UOM,HPI_kelowna_bc
0,1981-01,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.5,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",61.4,"Québec, Quebec",House only,"Index, 201612=100",34.9,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",30.0,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",30.8,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",22.6,"Hamilton, Ontario",House only,"Index, 201612=100",24.8,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",27.0,"Windsor, Ontario",House only,"Index, 201612=100",64.9,"Greater Sudbury, Ontario",House only,"Index, 201612=100",54.6,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",29.3,"Edmonton, Alberta",House only,"Index, 201612=100",36.5,"Calgary, Alberta",House only,"Index, 201612=100",27.8,"Victoria, British Columbia",House only,"Index, 201612=100",206.8,"Vancouver, British Columbia",House only,"Index, 201612=100",96.1,"Kelowna, British Columbia",House only,"Index, 201612=100",
1,1981-02,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.5,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",62.1,"Québec, Quebec",House only,"Index, 201612=100",35.4,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",30.2,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",30.8,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",23.2,"Hamilton, Ontario",House only,"Index, 201612=100",24.9,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",27.5,"Windsor, Ontario",House only,"Index, 201612=100",64.9,"Greater Sudbury, Ontario",House only,"Index, 201612=100",55.6,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",29.7,"Edmonton, Alberta",House only,"Index, 201612=100",36.8,"Calgary, Alberta",House only,"Index, 201612=100",28.1,"Victoria, British Columbia",House only,"Index, 201612=100",209.1,"Vancouver, British Columbia",House only,"Index, 201612=100",97.5,"Kelowna, British Columbia",House only,"Index, 201612=100",
2,1981-03,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.5,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",62.1,"Québec, Quebec",House only,"Index, 201612=100",35.4,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",30.5,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",31.9,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",24.8,"Hamilton, Ontario",House only,"Index, 201612=100",25.3,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",28.2,"Windsor, Ontario",House only,"Index, 201612=100",64.1,"Greater Sudbury, Ontario",House only,"Index, 201612=100",55.6,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",30.3,"Edmonton, Alberta",House only,"Index, 201612=100",36.8,"Calgary, Alberta",House only,"Index, 201612=100",28.6,"Victoria, British Columbia",House only,"Index, 201612=100",210.6,"Vancouver, British Columbia",House only,"Index, 201612=100",97.5,"Kelowna, British Columbia",House only,"Index, 201612=100",
3,1981-04,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.5,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",62.1,"Québec, Quebec",House only,"Index, 201612=100",35.7,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",30.8,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",32.0,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",26.5,"Hamilton, Ontario",House only,"Index, 201612=100",25.6,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",28.6,"Windsor, Ontario",House only,"Index, 201612=100",63.9,"Greater Sudbury, Ontario",House only,"Index, 201612=100",57.0,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",30.5,"Edmonton, Alberta",House only,"Index, 201612=100",36.9,"Calgary, Alberta",House only,"Index, 201612=100",30.1,"Victoria, British Columbia",House only,"Index, 201612=100",210.6,"Vancouver, British Columbia",House only,"Index, 201612=100",97.7,"Kelowna, British Columbia",House only,"Index, 201612=100",
4,1981-05,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.7,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",63.3,"Québec, Quebec",House only,"Index, 201612=100",36.1,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",31.1,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",32.7,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",27.7,"Hamilton, Ontario",House only,"Index, 201612=100",26.4,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",28.6,"Windsor, Ontario",House only,"Index, 201612=100",63.9,"Greater Sudbury, Ontario",House only,"Index, 201612=100",57.0,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",31.1,"Edmonton, Alberta",House only,"Index, 201612=100",38.2,"Calgary, Alberta",House only,"Index, 201612=100",30.1,"Victoria, British Columbia",House only,"Index, 201612=100",212.4,"Vancouver, British Columbia",House only,"Index, 201612=100",97.7,"Kelowna, British Columbia",House only,"Index, 201612=100",
5,1981-06,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.7,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",63.3,"Québec, Quebec",House only,"Index, 201612=100",36.1,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",31.5,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.5,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",27.7,"Hamilton, Ontario",House only,"Index, 201612=100",26.6,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",29.1,"Windsor, Ontario",House only,"Index, 201612=100",63.9,"Greater Sudbury, Ontario",House only,"Index, 201612=100",57.2,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",31.8,"Edmonton, Alberta",House only,"Index, 201612=100",38.4,"Calgary, Alberta",House only,"Index, 201612=100",30.6,"Victoria, British Columbia",House only,"Index, 201612=100",210.6,"Vancouver, British Columbia",House only,"Index, 201612=100",98.2,"Kelowna, British Columbia",House only,"Index, 201612=100",
6,1981-07,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.7,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",63.6,"Québec, Quebec",House only,"Index, 201612=100",36.2,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",31.7,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.5,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",27.7,"Hamilton, Ontario",House only,"Index, 201612=100",26.6,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",29.7,"Windsor, Ontario",House only,"Index, 201612=100",63.9,"Greater Sudbury, Ontario",House only,"Index, 201612=100",57.2,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",32.0,"Edmonton, Alberta",House only,"Index, 201612=100",38.4,"Calgary, Alberta",House only,"Index, 201612=100",30.6,"Victoria, British Columbia",House only,"Index, 201612=100",206.2,"Vancouver, British Columbia",House only,"Index, 201612=100",97.7,"Kelowna, British Columbia",House only,"Index, 201612=100",
7,1981-08,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.8,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",64.6,"Québec, Quebec",House only,"Index, 201612=100",36.6,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",31.7,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.9,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",28.0,"Hamilton, Ontario",House only,"Index, 201612=100",26.7,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",29.7,"Windsor, Ontario",House only,"Index, 201612=100",63.9,"Greater Sudbury, Ontario",House only,"Index, 201612=100",57.5,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",32.9,"Edmonton, Alberta",House only,"Index, 201612=100",38.8,"Calgary, Alberta",House only,"Index, 201612=100",30.7,"Victoria, British Columbia",House only,"Index, 201612=100",206.2,"Vancouver, British Columbia",House only,"Index, 201612=100",89.8,"Kelowna, British Columbia",House only,"Index, 201612=100",
8,1981-09,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.8,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",64.6,"Québec, Quebec",House only,"Index, 201612=100",36.6,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",32.1,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.9,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",28.1,"Hamilton, Ontario",House only,"Index, 201612=100",26.7,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",29.7,"Windsor, Ontario",House only,"Index, 201612=100",60.8,"Greater Sudbury, Ontario",House only,"Index, 201612=100",57.5,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",32.9,"Edmonton, Alberta",House only,"Index, 201612=100",38.8,"Calgary, Alberta",House only,"Index, 201612=100",30.7,"Victoria, British Columbia",House only,"Index, 201612=100",200.8,"Vancouver, British Columbia",House only,"Index, 201612=100",89.3,"Kelowna, British Columbia",House only,"Index, 201612=100",
9,1981-10,Atlantic Region,House only,"Index, 201612=100",,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.8,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",,"Halifax, Nova Scotia",House only,"Index, 201612=100",,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",62.7,"Québec, Quebec",House only,"Index, 201612=100",36.6,"Sherbrooke, Quebec",House only,"Index, 201612=100",,"Trois-Rivières, Quebec",House only,"Index, 201612=100",,"Montréal, Quebec",House only,"Index, 201612=100",32.4,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.9,"Oshawa, Ontario",House only,"Index, 201612=100",,"Toronto, Ontario",House only,"Index, 201612=100",28.1,"Hamilton, Ontario",House only,"Index, 201612=100",26.7,"Guelph, Ontario",House only,"Index, 201612=100",,"London, Ontario",House only,"Index, 201612=100",29.7,"Windsor, Ontario",House only,"Index, 201612=100",60.8,"Greater Sudbury, Ontario",House only,"Index, 201612=100",57.5,Prairie Region,House only,"Index, 201612=100",,"Winnipeg, Manitoba",House only,"Index, 201612=100",32.9,"Edmonton, Alberta",House only,"Index, 201612=100",38.8,"Calgary, Alberta",House only,"Index, 201612=100",30.8,"Victoria, British Columbia",House only,"Index, 201612=100",200.6,"Vancouver, British Columbia",House only,"Index, 201612=100",85.2,"Kelowna, British Columbia",House only,"Index, 201612=100",
