,REF_DATE,GEO,New housing price indexes,UOM,HPI_edmonton_alb
0,1981-01,"Edmonton, Alberta",House only,"Index, 201612=100",36.5
1,1981-02,"Edmonton, Alberta",House only,"Index, 201612=100",36.8
2,1981-03,"Edmonton, Alberta",House only,"Index, 201612=100",36.8
3,1981-04,"Edmonton, Alberta",House only,"Index, 201612=100",36.9
4,1981-05,"Edmonton, Alberta",House only,"Index, 201612=100",38.2
5,1981-06,"Edmonton, Alberta",House only,"Index, 201612=100",38.4
6,1981-07,"Edmonton, Alberta",House only,"Index, 201612=100",38.4
7,1981-08,"Edmonton, Alberta",House only,"Index, 201612=100",38.8
8,1981-09,"Edmonton, Alberta",House only,"Index, 201612=100",38.8
9,1981-10,"Edmonton, Alberta",House only,"Index, 201612=100",38.8
10,1981-11,"Edmonton, Alberta",House only,"Index, 201612=100",39.1
11,1981-12,"Edmonton, Alberta",House only,"Index, 201612=100",39.1
12,1982-01,"Edmonton, Alberta",House only,"Index, 201612=100",39.3
13,1982-02,"Edmonton, Alberta",House only,"Index, 201612=100",39.7
14,1982-03,"Edmonton, Alberta",House only,"Index, 201612=100",39.3
15,1982-04,"Edmonton, Alberta",House only,"Index, 201612=100",38.8
16,1982-05,"Edmonton, Alberta",House only,"Index, 201612=100",36.9
17,1982-06,"Edmonton, Alberta",House only,"Index, 201612=100",36.6
18,1982-07,"Edmonton, Alberta",House only,"Index, 201612=100",36.5
19,1982-08,"Edmonton, Alberta",House only,"Index, 201612=100",36.2
20,1982-09,"Edmonton, Alberta",House only,"Index, 201612=100",36.0
21,1982-10,"Edmonton, Alberta",House only,"Index, 201612=100",35.7
22,1982-11,"Edmonton, Alberta",House only,"Index, 201612=100",35.2
23,1982-12,"Edmonton, Alberta",House only,"Index, 201612=100",35.1
24,1983-01,"Edmonton, Alberta",House only,"Index, 201612=100",36.4
25,1983-02,"Edmonton, Alberta",House only,"Index, 201612=100",35.7
26,1983-03,"Edmonton, Alberta",House only,"Index, 201612=100",35.7
27,1983-04,"Edmonton, Alberta",House only,"Index, 201612=100",35.6
28,1983-05,"Edmonton, Alberta",House only,"Index, 201612=100",35.4
29,1983-06,"Edmonton, Alberta",House only,"Index, 201612=100",35.4
30,1983-07,"Edmonton, Alberta",House only,"Index, 201612=100",35.3
31,1983-08,"Edmonton, Alberta",House only,"Index, 201612=100",35.6
32,1983-09,"Edmonton, Alberta",House only,"Index, 201612=100",35.6
33,1983-10,"Edmonton, Alberta",House only,"Index, 201612=100",35.6
34,1983-11,"Edmonton, Alberta",House only,"Index, 201612=100",35.9
35,1983-12,"Edmonton, Alberta",House only,"Index, 201612=100",36.0
36,1984-01,"Edmonton, Alberta",House only,"Index, 201612=100",35.2
37,1984-02,"Edmonton, Alberta",House only,"Index, 201612=100",35.1
38,1984-03,"Edmonton, Alberta",House only,"Index, 201612=100",34.9
39,1984-04,"Edmonton, Alberta",House only,"Index, 201612=100",34.9
40,1984-05,"Edmonton, Alberta",House only,"Index, 201612=100",34.1
41,1984-06,"Edmonton, Alberta",House only,"Index, 201612=100",33.7
42,1984-07,"Edmonton, Alberta",House only,"Index, 201612=100",33.1
43,1984-08,"Edmonton, Alberta",House only,"Index, 201612=100",33.0
44,1984-09,"Edmonton, Alberta",House only,"Index, 201612=100",33.0
45,1984-10,"Edmonton, Alberta",House only,"Index, 201612=100",33.0
46,1984-11,"Edmonton, Alberta",House only,"Index, 201612=100",32.0
47,1984-12,"Edmonton, Alberta",House only,"Index, 201612=100",32.0
48,1985-01,"Edmonton, Alberta",House only,"Index, 201612=100",32.2
49,1985-02,"Edmonton, Alberta",House only,"Index, 201612=100",31.3
50,1985-03,"Edmonton, Alberta",House only,"Index, 201612=100",31.2
51,1985-04,"Edmonton, Alberta",House only,"Index, 201612=100",31.2
52,1985-05,"Edmonton, Alberta",House only,"Index, 201612=100",31.3
53,1985-06,"Edmonton, Alberta",House only,"Index, 201612=100",31.3
54,1985-07,"Edmonton, Alberta",House only,"Index, 201612=100",31.4
55,1985-08,"Edmonton, Alberta",House only,"Index, 201612=100",31.8
56,1985-09,"Edmonton, Alberta",House only,"Index, 201612=100",31.9
