,REF_DATE,Halifax_aptBldg_BCPI,Halifax_highriseBldg_BCPI,Halifax_lowriseBldg_BCPI,Halifax_residbld_BCPI,Halifax_singdethouse_BCPI,Halifax_townhouse_BCPI
0,1988-04,,55.7,,,,
1,1988-07,,56.3,,,,
2,1988-10,,57.0,,,,
3,1989-01,,57.3,,,,
4,1989-04,,58.1,,,,
5,1989-07,,58.5,,,,
6,1989-10,,58.7,,,,
7,1990-01,,59.2,,,,
8,1990-04,,60.2,,,,
9,1990-07,,59.8,,,,
10,1990-10,,59.7,,,,
11,1991-01,,58.4,,,,
12,1991-04,,58.4,,,,
13,1991-07,,58.3,,,,
14,1991-10,,58.2,,,,
15,1992-01,,58.3,,,,
16,1992-04,,58.3,,,,
17,1992-07,,58.3,,,,
18,1992-10,,58.3,,,,
19,1993-01,,58.4,,,,
20,1993-04,,58.6,,,,
21,1993-07,,58.8,,,,
22,1993-10,,59.0,,,,
23,1994-01,,59.2,,,,
24,1994-04,,59.8,,,,
25,1994-07,,60.2,,,,
26,1994-10,,60.4,,,,
27,1995-01,,61.0,,,,
28,1995-04,,61.3,,,,
29,1995-07,,61.5,,,,
30,1995-10,,61.6,,,,
31,1996-01,,61.9,,,,
32,1996-04,,62.0,,,,
33,1996-07,,62.1,,,,
34,1996-10,,62.2,,,,
35,1997-01,,62.5,,,,
36,1997-04,,60.5,,,,
37,1997-07,,60.7,,,,
38,1997-10,,60.8,,,,
39,1998-01,,60.8,,,,
40,1998-04,,61.5,,,,
41,1998-07,,61.5,,,,
42,1998-10,,62.1,,,,
43,1999-01,,62.5,,,,
44,1999-04,,63.0,,,,
45,1999-07,,63.3,,,,
46,1999-10,,63.4,,,,
47,2000-01,,64.1,,,,
48,2000-04,,64.8,,,,
49,2000-07,,65.1,,,,
50,2000-10,,65.2,,,,
51,2001-01,,65.2,,,,
52,2001-04,,65.5,,,,
53,2001-07,,65.9,,,,
54,2001-10,,66.1,,,,
55,2002-01,,66.6,,,,
56,2002-04,,67.2,,,,
57,2002-07,,67.7,,,,
58,2002-10,,68.1,,,,
59,2003-01,,68.2,,,,
60,2003-04,,68.9,,,,
61,2003-07,,69.3,,,,
62,2003-10,,69.9,,,,
63,2004-01,,71.0,,,,
64,2004-04,,72.6,,,,
65,2004-07,,73.9,,,,
66,2004-10,,74.4,,,,
67,2005-01,,74.5,,,,
68,2005-04,,75.3,,,,
69,2005-07,,76.1,,,,
70,2005-10,,76.7,,,,
71,2006-01,,77.6,,,,
72,2006-04,,79.0,,,,
73,2006-07,,80.5,,,,
74,2006-10,,80.8,,,,
75,2007-01,,81.5,,,,
76,2007-04,,83.2,,,,
77,2007-07,,83.4,,,,
78,2007-10,,83.6,,,,
79,2008-01,,84.6,,,,
80,2008-04,,86.8,,,,
81,2008-07,,87.8,,,,
82,2008-10,,88.1,,,,
83,2009-01,,87.7,,,,
84,2009-04,,88.1,,,,
85,2009-07,,87.9,,,,
86,2009-10,,87.9,,,,
87,2010-01,,88.1,,,,
88,2010-04,,88.9,,,,
89,2010-07,,88.9,,,,
90,2010-10,,89.4,,,,
91,2011-01,,90.4,,,,
92,2011-04,,91.4,,,,
93,2011-07,,91.8,,,,
94,2011-10,,92.2,,,,
95,2012-01,,92.9,,,,
96,2012-04,,93.3,,,,
97,2012-07,,93.9,,,,
98,2012-10,,94.1,,,,
99,2013-01,,94.1,,,,
100,2013-04,,94.6,,,,
101,2013-07,,94.6,,,,
102,2013-10,,94.7,,,,
103,2014-01,,95.1,,,,
104,2014-04,,96.2,,,,
105,2014-07,,96.4,,,,
106,2014-10,,96.4,,,,
107,2015-01,,96.8,,,,
108,2015-04,,97.4,,,,
109,2015-07,,97.6,,,,
110,2015-10,,97.8,,,,
111,2016-01,,97.6,,,,
112,2016-04,,98.0,,,,
113,2016-07,,98.0,,,,
114,2016-10,,98.0,,,,
115,2017-01,98.4,98.5,98.2,98.2,97.7,97.7
116,2017-04,99.3,99.3,99.2,99.1,98.9,98.9
117,2017-07,100.6,100.7,100.4,100.7,100.8,100.7
118,2017-10,101.7,101.5,102.1,102.1,102.7,102.6
119,2018-01,102.6,102.2,103.7,103.1,104.0,104.1
120,2018-04,104.0,103.5,105.7,104.7,105.9,106.0
121,2018-07,105.5,104.9,107.3,106.2,107.4,107.6
122,2018-10,106.2,105.7,107.8,106.8,107.9,108.0
123,2019-01,106.7,106.1,108.5,107.5,108.8,108.9
124,2019-04,107.0,106.4,108.8,107.7,109.0,109.2
125,2019-07,107.3,106.8,109.0,108.1,109.4,109.5
126,2019-10,108.0,107.3,110.2,109.0,110.6,110.8
127,2020-01,109.2,108.1,112.3,110.4,112.4,112.7
128,2020-04,109.5,108.4,112.5,110.7,112.7,113.0
129,2020-07,111.0,109.5,115.3,112.8,115.5,116.0
130,2020-10,112.4,109.9,118.9,115.1,119.5,120.1
131,2021-01,114.1,110.6,122.6,117.5,122.7,123.6
132,2021-04,120.3,114.3,133.8,126.4,135.5,136.7
133,2021-07,123.1,116.6,137.9,130.3,141.1,141.7
134,2021-10,126.0,119.4,141.1,133.8,145.3,145.5
135,2022-01,130.9,123.3,148.6,140.0,153.4,153.6
136,2022-04,133.7,125.7,152.2,143.4,157.9,158.0
137,2022-07,135.4,127.2,154.6,145.6,160.8,160.8
