,REF_DATE,GEO,New housing price indexes,UOM,HPI_halifax_ns
0,1981-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",
1,1981-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",
2,1981-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",
3,1981-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",
4,1981-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",
5,1981-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",
6,1981-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",
7,1981-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",
8,1981-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",
9,1981-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",
10,1981-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",
11,1981-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",
12,1982-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",
13,1982-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",
14,1982-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",
15,1982-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",
16,1982-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",
17,1982-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",
18,1982-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",
19,1982-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",
20,1982-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",
21,1982-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",
22,1982-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",
23,1982-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",
24,1983-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",
25,1983-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",
26,1983-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",
27,1983-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",
28,1983-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",
29,1983-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",
30,1983-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",
31,1983-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",
32,1983-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",
33,1983-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",
34,1983-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",
35,1983-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",
36,1984-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",
37,1984-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",
38,1984-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",
39,1984-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",
40,1984-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",47.4
41,1984-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",47.8
42,1984-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",47.9
43,1984-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",47.9
44,1984-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",47.9
45,1984-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",48.7
46,1984-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",48.9
47,1984-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",48.8
48,1985-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.4
49,1985-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.6
50,1985-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.6
51,1985-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.4
52,1985-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.4
53,1985-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.6
54,1985-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.6
55,1985-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.6
56,1985-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.8
57,1985-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",49.9
58,1985-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.5
59,1985-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.4
60,1986-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.2
61,1986-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.2
62,1986-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.2
63,1986-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.6
64,1986-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.1
65,1986-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.1
66,1986-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.1
67,1986-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.3
68,1986-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.5
69,1986-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.5
70,1986-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",50.9
71,1986-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",51.0
72,1987-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",51.0
73,1987-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",51.1
74,1987-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",51.1
75,1987-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",51.1
76,1987-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",51.9
77,1987-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",52.1
78,1987-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",52.1
79,1987-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",52.2
80,1987-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",52.5
81,1987-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",52.5
82,1987-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",52.7
83,1987-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",52.7
84,1988-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",52.7
85,1988-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",53.3
86,1988-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",53.5
87,1988-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",53.5
88,1988-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",53.7
89,1988-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",53.7
90,1988-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",53.7
91,1988-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",53.7
92,1988-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.4
93,1988-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.4
94,1988-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
95,1988-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
96,1989-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.7
97,1989-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.8
98,1989-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.8
99,1989-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.8
100,1989-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.6
101,1989-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
102,1989-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
103,1989-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
104,1989-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
105,1989-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
106,1989-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
107,1989-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
108,1990-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
109,1990-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.7
110,1990-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.7
111,1990-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.7
112,1990-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.7
113,1990-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.7
114,1990-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.8
115,1990-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.8
116,1990-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.8
117,1990-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.8
118,1990-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
119,1990-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
120,1991-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
121,1991-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.3
122,1991-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.3
123,1991-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.3
124,1991-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.3
125,1991-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.3
126,1991-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.3
127,1991-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.3
128,1991-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.3
129,1991-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.3
130,1991-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.2
131,1991-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.4
132,1992-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.4
133,1992-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.4
134,1992-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.4
135,1992-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.5
136,1992-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",55.1
137,1992-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",55.1
138,1992-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",55.0
139,1992-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
140,1992-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
141,1992-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
142,1992-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
143,1992-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
144,1993-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
145,1993-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
146,1993-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",56.2
147,1993-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",56.2
148,1993-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",56.7
149,1993-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",56.6
150,1993-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",56.6
151,1993-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",56.6
152,1993-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",56.6
153,1993-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",56.8
154,1993-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.1
155,1993-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.1
156,1994-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.1
157,1994-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.1
158,1994-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.1
159,1994-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.1
160,1994-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.6
161,1994-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.6
162,1994-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.9
163,1994-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.7
164,1994-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.7
165,1994-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.9
166,1994-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.1
167,1994-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.3
168,1995-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.3
169,1995-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.4
170,1995-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.5
171,1995-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.5
172,1995-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.7
173,1995-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.7
174,1995-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.7
175,1995-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
176,1995-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
177,1995-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
178,1995-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.3
179,1995-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.3
180,1996-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.3
181,1996-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.2
182,1996-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.0
183,1996-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
184,1996-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.3
185,1996-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.6
186,1996-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.7
187,1996-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.6
188,1996-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.6
189,1996-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.4
190,1996-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.4
191,1996-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.4
192,1997-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.0
