,REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,VALUE
0,1981-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,24.8
1,1981-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,24.9
2,1981-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,25.3
3,1981-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,25.6
4,1981-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,26.4
5,1981-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,26.6
6,1981-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,26.6
7,1981-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,26.7
8,1981-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,26.7
9,1981-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,26.7
10,1981-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,26.7
11,1981-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,26.7
12,1982-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,26.7
13,1982-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,27.0
14,1982-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,27.0
15,1982-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,27.0
16,1982-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,27.0
17,1982-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,28.6
18,1982-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,28.6
19,1982-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,28.6
20,1982-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.2
21,1982-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.6
22,1982-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.6
23,1982-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.7
24,1983-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.7
25,1983-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.7
26,1983-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.7
27,1983-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.7
28,1983-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.7
29,1983-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.7
30,1983-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.7
31,1983-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,29.9
32,1983-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,30.1
33,1983-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,30.3
34,1983-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,30.3
35,1983-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,30.4
36,1984-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.3
37,1984-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.3
38,1984-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.5
39,1984-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.5
40,1984-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.5
41,1984-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.5
42,1984-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.5
43,1984-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.6
44,1984-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.7
45,1984-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,31.9
46,1984-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,32.1
47,1984-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,32.3
48,1985-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,32.3
49,1985-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,32.3
50,1985-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,32.7
51,1985-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,32.8
52,1985-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,32.8
53,1985-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,33.0
54,1985-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,33.3
55,1985-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,33.9
56,1985-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,33.9
57,1985-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,33.9
58,1985-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,34.3
59,1985-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,34.8
60,1986-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,34.8
61,1986-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,35.4
62,1986-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,35.7
63,1986-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,36.4
64,1986-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,36.4
65,1986-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,36.4
66,1986-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,37.0
67,1986-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,37.0
68,1986-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,37.6
69,1986-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,38.1
70,1986-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,41.3
71,1986-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,41.3
72,1987-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,41.4
73,1987-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,41.6
74,1987-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,43.6
75,1987-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,43.6
76,1987-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,43.9
77,1987-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,44.7
78,1987-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,44.7
79,1987-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.1
80,1987-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.1
81,1987-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.1
82,1987-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
83,1987-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.2
84,1988-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.2
85,1988-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.8
86,1988-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.3
87,1988-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.5
88,1988-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,49.2
89,1988-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,49.2
90,1988-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,49.3
91,1988-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.8
92,1988-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.8
93,1988-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.0
94,1988-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.0
95,1988-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.5
96,1989-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.9
97,1989-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,52.1
98,1989-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,53.5
99,1989-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,53.6
100,1989-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,53.7
101,1989-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,53.8
102,1989-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,54.0
103,1989-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,54.2
104,1989-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,54.4
105,1989-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,54.9
106,1989-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,55.2
107,1989-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,55.5
108,1990-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,55.9
109,1990-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,55.9
110,1990-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,56.0
111,1990-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,55.9
112,1990-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,55.9
113,1990-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,54.5
114,1990-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,54.5
115,1990-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,54.0
116,1990-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,53.5
117,1990-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,52.8
118,1990-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,52.1
119,1990-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,52.2
120,1991-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.5
121,1991-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.6
122,1991-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.7
123,1991-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.3
124,1991-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.3
125,1991-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.2
126,1991-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.2
127,1991-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.7
128,1991-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.3
129,1991-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.1
130,1991-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.4
131,1991-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.1
132,1992-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.2
133,1992-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,49.8
134,1992-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,49.6
135,1992-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,49.4
136,1992-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.3
137,1992-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.4
138,1992-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.5
139,1992-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.4
140,1992-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.2
141,1992-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.8
142,1992-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.7
143,1992-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.9
144,1993-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.4
145,1993-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.6
146,1993-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.3
147,1993-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
148,1993-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
149,1993-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.0
150,1993-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
151,1993-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.2
152,1993-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.8
153,1993-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.6
154,1993-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.3
155,1993-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
156,1994-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
157,1994-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.8
158,1994-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
159,1994-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.6
160,1994-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.6
161,1994-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
162,1994-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
163,1994-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.3
164,1994-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
165,1994-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.2
166,1994-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.3
167,1994-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.0
168,1995-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.0
169,1995-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.8
170,1995-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.3
171,1995-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.1
172,1995-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.6
173,1995-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.5
174,1995-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.4
175,1995-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.9
176,1995-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.7
177,1995-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.0
178,1995-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.4
179,1995-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.6
180,1996-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.6
181,1996-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.0
182,1996-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.2
183,1996-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.4
184,1996-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.0
185,1996-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.0
186,1996-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,45.8
187,1996-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.7
188,1996-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.6
189,1996-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.6
190,1996-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.0
191,1996-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.8
192,1997-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,46.9
193,1997-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,47.8
194,1997-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.5
195,1997-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.5
196,1997-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.4
197,1997-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,48.8
198,1997-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,49.1
199,1997-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,49.9
200,1997-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.1
201,1997-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.0
202,1997-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.1
203,1997-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.2
204,1998-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.5
205,1998-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.8
206,1998-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.9
207,1998-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.2
208,1998-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.8
209,1998-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.9
210,1998-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,50.8
211,1998-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.2
212,1998-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.6
213,1998-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.6
214,1998-11,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.6
215,1998-12,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.7
216,1999-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.3
217,1999-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.3
218,1999-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.3
219,1999-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.2
220,1999-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.3
221,1999-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.5
222,1999-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.3
223,1999-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,51.8
