,REF_DATE,HPI_nfland_labrador,HPI_charlottetown_pei,HPI_halifax_ns,HPI_stjohn_fredericton_moncton,HPI_quebec_qc,HPI_sherbrooke_qc,HPI_troisriv_qc,HPI_mtl_qc,HPI_ottawa_gatineau_qc,HPI_ottawa_gatineau_ont,HPI_oshawa_ont,HPI_toronto_ont,HPI_hamilton_ont,HPI_guelph_ont,HPI_london_ont,HPI_windsor_ont,HPI_sudbury_ont,HPI_winnipeg_manitoba,HPI_edmonton_alb,HPI_calgary_alb,HPI_victoria_bc,HPI_vancouver_bc,HPI_kelowna_bc,Interest_Rate_Central_Bank,CPI_inflation,unemployment_rate
0,1981-01,37.5,,,61.4,34.9,,,30.0,,30.8,,22.6,24.8,,27.0,64.9,54.6,29.3,36.5,27.8,206.8,96.1,,17.0,12.200956937799,7.4
1,1981-02,37.5,,,62.1,35.4,,,30.2,,30.8,,23.2,24.9,,27.5,64.9,55.6,29.7,36.8,28.1,209.1,97.5,,17.14,12.0567375886525,7.4
2,1981-03,37.5,,,62.1,35.4,,,30.5,,31.9,,24.8,25.3,,28.2,64.1,55.6,30.3,36.8,28.6,210.6,97.5,,16.59,12.6760563380282,7.3
3,1981-04,37.5,,,62.1,35.7,,,30.8,,32.0,,26.5,25.6,,28.6,63.9,57.0,30.5,36.9,30.1,210.6,97.7,,17.4,12.5874125874126,7.1
4,1981-05,37.7,,,63.3,36.1,,,31.1,,32.7,,27.7,26.4,,28.6,63.9,57.0,31.1,38.2,30.1,212.4,97.7,,19.06,12.2119815668203,7.2
5,1981-06,37.7,,,63.3,36.1,,,31.5,,33.5,,27.7,26.6,,29.1,63.9,57.2,31.8,38.4,30.6,210.6,98.2,,19.07,12.756264236902,7.3
6,1981-07,37.7,,,63.6,36.2,,,31.7,,33.5,,27.7,26.6,,29.7,63.9,57.2,32.0,38.4,30.6,206.2,97.7,,19.89,12.8959276018099,7.3
7,1981-08,37.8,,,64.6,36.6,,,31.7,,33.9,,28.0,26.7,,29.7,63.9,57.5,32.9,38.8,30.7,206.2,89.8,,21.03,12.5279642058165,7.2
8,1981-09,37.8,,,64.6,36.6,,,32.1,,33.9,,28.1,26.7,,29.7,60.8,57.5,32.9,38.8,30.7,200.8,89.3,,19.63,12.6666666666667,8.4
9,1981-10,37.8,,,62.7,36.6,,,32.4,,33.9,,28.1,26.7,,29.7,60.8,57.5,32.9,38.8,30.8,200.6,85.2,,18.3,12.7753303964758,8.4
10,1981-11,38.5,,,62.7,36.8,,,32.7,,35.2,,28.1,26.7,,29.7,60.8,58.6,32.9,39.1,31.0,198.5,81.1,,15.4,12.1739130434783,8.4
11,1981-12,38.5,,,62.7,36.8,,,33.1,,35.2,,28.1,26.7,,29.7,60.8,58.6,33.6,39.1,31.1,204.2,80.2,,14.66,12.1212121212121,8.8
12,1982-01,38.0,,,62.7,37.3,,,33.6,,36.0,,28.2,26.7,,29.7,60.8,58.6,33.6,39.3,31.3,204.2,79.6,,14.72,11.3006396588486,8.7
13,1982-02,38.0,,,62.2,37.8,,,33.5,,36.2,,28.0,27.0,,29.7,60.8,59.1,33.6,39.7,31.6,193.1,78.0,,14.74,11.3924050632911,9.0
14,1982-03,38.0,,,62.1,37.8,,,33.5,,36.1,,28.0,27.0,,29.7,60.8,59.4,33.8,39.3,31.7,184.9,73.2,,15.11,11.4583333333333,9.4
15,1982-04,37.3,,,62.1,37.9,,,33.5,,36.3,,28.0,27.0,,29.7,60.8,58.4,33.9,38.8,31.7,180.1,72.6,,15.32,11.3871635610766,9.9
16,1982-05,37.3,,,62.1,38.0,,,33.5,,36.3,,27.9,27.0,,29.7,58.7,58.9,33.9,36.9,31.6,181.6,70.7,,15.32,11.9096509240246,10.4
17,1982-06,37.3,,,62.1,38.1,,,33.5,,36.3,,27.9,28.6,,29.7,58.2,58.9,33.9,36.6,31.1,179.9,70.1,,16.58,11.3131313131313,11.1
18,1982-07,37.3,,,61.4,38.1,,,33.8,,36.3,,27.9,28.6,,29.7,58.2,58.9,33.9,36.5,30.9,181.1,70.9,,15.6,11.0220440881764,12.0
19,1982-08,37.3,,,61.4,38.5,,,33.9,,36.3,,27.2,28.6,,29.7,58.2,58.4,34.2,36.2,30.6,182.7,71.9,,14.26,10.5367793240557,12.0
20,1982-09,37.3,,,61.4,38.9,,,34.0,,36.3,,27.1,29.2,,29.7,58.2,59.5,34.2,36.0,28.7,186.7,73.1,,13.18,10.2564102564103,12.3
21,1982-10,37.3,,,60.8,38.9,,,34.3,,37.0,,26.6,29.6,,29.4,55.9,59.5,34.0,35.7,28.3,186.7,73.5,,11.53,9.96093749999999,12.8
22,1982-11,37.3,,,60.8,39.0,,,34.0,,37.2,,26.7,29.6,,29.4,56.4,59.5,34.0,35.2,28.1,185.3,74.1,,10.87,9.68992248062016,12.9
23,1982-12,37.3,,,60.8,39.1,,,34.0,,37.3,,26.4,29.7,,29.5,57.3,59.5,33.6,35.1,28.0,184.5,73.6,,10.26,9.26640926640928,13.2
24,1983-01,37.3,,,60.8,39.5,,,34.1,,37.3,,26.5,29.7,,29.5,57.3,59.5,33.6,36.4,27.2,185.5,74.4,,9.81,8.23754789272031,13.0
25,1983-02,37.3,,,60.8,39.8,,,33.8,,37.8,,26.3,29.7,,29.5,57.3,59.5,33.6,35.7,27.4,185.5,75.8,,9.43,7.57575757575756,13.0
26,1983-03,37.3,,,60.8,39.8,,,33.6,,38.2,,26.2,29.7,,29.6,57.3,59.5,33.6,35.7,27.0,183.2,75.5,,9.42,7.28971962616822,12.9
27,1983-04,37.3,,,62.2,40.1,,,33.8,,38.8,,26.1,29.7,,29.3,57.5,59.5,33.8,35.6,26.1,183.2,75.8,,9.46,6.69144981412638,12.7
28,1983-05,37.3,,,62.2,40.8,,,34.3,,38.8,,26.0,29.7,,29.8,58.6,60.8,33.7,35.4,25.0,183.2,75.8,,9.38,5.5045871559633,12.6
29,1983-06,36.8,,,62.6,41.2,,,34.5,,38.8,,26.2,29.7,,30.0,58.6,60.8,33.7,35.4,24.9,186.5,75.8,,9.42,5.44464609800363,12.4
30,1983-07,36.8,,,63.6,41.4,,,34.8,,38.8,,26.1,29.7,,30.5,58.6,60.8,34.3,35.3,24.9,187.3,76.1,,9.51,5.41516245487362,12.0
31,1983-08,38.2,,,64.6,42.0,,,35.4,,40.0,,26.2,29.9,,30.5,58.6,60.9,34.3,35.6,24.8,187.3,76.0,,9.57,5.57553956834533,11.7
32,1983-09,38.2,,,64.9,42.0,,,35.6,,40.1,,26.1,30.1,,30.6,60.0,60.9,34.6,35.6,24.5,189.1,76.0,,9.52,5.00894454382827,11.4
33,1983-10,38.2,,,64.9,42.1,,,35.6,,41.2,,26.1,30.3,,30.6,60.2,61.3,34.6,35.6,24.2,187.8,76.1,,9.45,4.97335701598581,11.3
34,1983-11,38.2,,,65.0,42.2,,,35.9,,41.7,,26.1,30.3,,30.5,62.5,61.3,34.6,35.9,24.0,187.8,76.1,,9.63,4.41696113074205,11.3
