,REF_DATE,stone_VALUE,crushedStone_VALUE,logsbolts_VALUE,ironOres_concentrates_VALUE,REF_DATE,HPI_nfland_labrador,HPI_charlottetown_pei,HPI_halifax_ns,HPI_stjohn_fredericton_moncton,HPI_quebec_qc,HPI_sherbrooke_qc,HPI_troisriv_qc,HPI_mtl_qc,HPI_ottawa_gatineau_qc,HPI_ottawa_gatineau_ont,HPI_oshawa_ont,HPI_toronto_ont,HPI_hamilton_ont,HPI_guelph_ont,HPI_london_ont,HPI_windsor_ont,HPI_sudbury_ont,HPI_winnipeg_manitoba,HPI_edmonton_alb,HPI_calgary_alb,HPI_victoria_bc,HPI_vancouver_bc,HPI_kelowna_bc,Interest_Rate_Central_Bank,CPI_inflation,unemployment_rate
0,1981-01,6221.6308,5454.027,7130.6353,9534.4472,1981-01,37.5,,,61.4,34.9,,,30.0,,30.8,,22.6,24.8,,27.0,64.9,54.6,29.3,36.5,27.8,206.8,96.1,,17.0,12.200956937799,7.4
1,1981-02,6282.231100000001,5454.027,7130.6353,10261.6508,1981-02,37.5,,,62.1,35.4,,,30.2,,30.8,,23.2,24.9,,27.5,64.9,55.6,29.7,36.8,28.1,209.1,97.5,,17.14,12.0567375886525,7.4
2,1981-03,6403.4317,5494.4272,7231.6358,10201.0505,1981-03,37.5,,,62.1,35.4,,,30.5,,31.9,,24.8,25.3,,28.2,64.1,55.6,30.3,36.8,28.6,210.6,97.5,,16.59,12.6760563380282,7.3
3,1981-04,6443.8319,5534.8274,7312.436200000001,8968.8444,1981-04,37.5,,,62.1,35.7,,,30.8,,32.0,,26.5,25.6,,28.6,63.9,57.0,30.5,36.9,30.1,210.6,97.7,,17.4,12.5874125874126,7.1
4,1981-05,6423.6318,5413.6268,7393.2366,9009.2446,1981-05,37.7,,,63.3,36.1,,,31.1,,32.7,,27.7,26.4,,28.6,63.9,57.0,31.1,38.2,30.1,212.4,97.7,,19.06,12.2119815668203,7.2
5,1981-06,6484.2321,5433.8269,7393.2366,9009.2446,1981-06,37.7,,,63.3,36.1,,,31.5,,33.5,,27.7,26.6,,29.1,63.9,57.2,31.8,38.4,30.6,210.6,98.2,,19.07,12.756264236902,7.3
6,1981-07,6484.2321,5433.8269,7433.636799999999,9009.2446,1981-07,37.7,,,63.6,36.2,,,31.7,,33.5,,27.7,26.6,,29.7,63.9,57.2,32.0,38.4,30.6,206.2,97.7,,19.89,12.8959276018099,7.3
7,1981-08,6544.8324,5433.8269,7433.636799999999,9150.6453,1981-08,37.8,,,64.6,36.6,,,31.7,,33.9,,28.0,26.7,,29.7,63.9,57.5,32.9,38.8,30.7,206.2,89.8,,21.03,12.5279642058165,7.2
8,1981-09,6504.432200000001,5433.8269,7312.436200000001,8423.441700000001,1981-09,37.8,,,64.6,36.6,,,32.1,,33.9,,28.1,26.7,,29.7,60.8,57.5,32.9,38.8,30.7,200.8,89.3,,19.63,12.6666666666667,8.4
9,1981-10,6504.432200000001,5433.8269,6908.434200000001,9009.2446,1981-10,37.8,,,62.7,36.6,,,32.4,,33.9,,28.1,26.7,,29.7,60.8,57.5,32.9,38.8,30.8,200.6,85.2,,18.3,12.7753303964758,8.4
10,1981-11,6484.2321,5433.8269,6868.034000000001,8908.2441,1981-11,38.5,,,62.7,36.8,,,32.7,,35.2,,28.1,26.7,,29.7,60.8,58.6,32.9,39.1,31.0,198.5,81.1,,15.4,12.1739130434783,8.4
11,1981-12,6645.832899999999,5454.027,6827.6338,8948.6443,1981-12,38.5,,,62.7,36.8,,,33.1,,35.2,,28.1,26.7,,29.7,60.8,58.6,33.6,39.1,31.1,204.2,80.2,,14.66,12.1212121212121,8.8
