,REF_DATE,GEO,New housing price indexes,UOM,HPI_kitchener_camb_water_ont
0,1981-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",30.4
1,1981-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",30.5
2,1981-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",30.7
3,1981-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",31.1
4,1981-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",31.1
5,1981-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",31.4
6,1981-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",31.4
7,1981-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",31.4
8,1981-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",31.6
9,1981-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",31.7
10,1981-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",32.0
11,1981-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",32.0
12,1982-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",32.0
13,1982-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",32.0
14,1982-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",32.0
15,1982-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",32.0
16,1982-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",32.5
17,1982-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",33.0
18,1982-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",33.0
19,1982-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",33.0
20,1982-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",32.9
21,1982-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",33.4
22,1982-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",33.3
23,1982-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",33.3
24,1983-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",33.8
25,1983-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",33.8
26,1983-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",34.2
27,1983-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",34.6
28,1983-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",34.6
29,1983-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",34.6
30,1983-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",34.9
31,1983-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",35.2
32,1983-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",35.2
33,1983-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",35.2
34,1983-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",35.2
35,1983-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",35.2
36,1984-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",35.2
37,1984-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",35.8
