,REF_DATE,GEO,New housing price indexes,UOM,HPI_london_ont
0,1981-01,"London, Ontario",House only,"Index, 201612=100",27.0
1,1981-02,"London, Ontario",House only,"Index, 201612=100",27.5
2,1981-03,"London, Ontario",House only,"Index, 201612=100",28.2
3,1981-04,"London, Ontario",House only,"Index, 201612=100",28.6
4,1981-05,"London, Ontario",House only,"Index, 201612=100",28.6
5,1981-06,"London, Ontario",House only,"Index, 201612=100",29.1
6,1981-07,"London, Ontario",House only,"Index, 201612=100",29.7
7,1981-08,"London, Ontario",House only,"Index, 201612=100",29.7
8,1981-09,"London, Ontario",House only,"Index, 201612=100",29.7
9,1981-10,"London, Ontario",House only,"Index, 201612=100",29.7
10,1981-11,"London, Ontario",House only,"Index, 201612=100",29.7
11,1981-12,"London, Ontario",House only,"Index, 201612=100",29.7
12,1982-01,"London, Ontario",House only,"Index, 201612=100",29.7
13,1982-02,"London, Ontario",House only,"Index, 201612=100",29.7
14,1982-03,"London, Ontario",House only,"Index, 201612=100",29.7
15,1982-04,"London, Ontario",House only,"Index, 201612=100",29.7
16,1982-05,"London, Ontario",House only,"Index, 201612=100",29.7
17,1982-06,"London, Ontario",House only,"Index, 201612=100",29.7
18,1982-07,"London, Ontario",House only,"Index, 201612=100",29.7
19,1982-08,"London, Ontario",House only,"Index, 201612=100",29.7
20,1982-09,"London, Ontario",House only,"Index, 201612=100",29.7
21,1982-10,"London, Ontario",House only,"Index, 201612=100",29.4
22,1982-11,"London, Ontario",House only,"Index, 201612=100",29.4
23,1982-12,"London, Ontario",House only,"Index, 201612=100",29.5
24,1983-01,"London, Ontario",House only,"Index, 201612=100",29.5
25,1983-02,"London, Ontario",House only,"Index, 201612=100",29.5
26,1983-03,"London, Ontario",House only,"Index, 201612=100",29.6
27,1983-04,"London, Ontario",House only,"Index, 201612=100",29.3
28,1983-05,"London, Ontario",House only,"Index, 201612=100",29.8
29,1983-06,"London, Ontario",House only,"Index, 201612=100",30.0
30,1983-07,"London, Ontario",House only,"Index, 201612=100",30.5
31,1983-08,"London, Ontario",House only,"Index, 201612=100",30.5
32,1983-09,"London, Ontario",House only,"Index, 201612=100",30.6
33,1983-10,"London, Ontario",House only,"Index, 201612=100",30.6
34,1983-11,"London, Ontario",House only,"Index, 201612=100",30.5
35,1983-12,"London, Ontario",House only,"Index, 201612=100",30.5
