,REF_DATE,montreal_aptBldg_BCPI,montreal_highriseBldg_BCPI,montreal_lowriseBldg_BCPI,montreal_singdethouse_BCPI,montreal_residbld_BCPI,montreal_townhouse_BCPI
0,1988-01,,51.0,,,,
1,1988-04,,51.7,,,,
2,1988-07,,52.4,,,,
3,1988-10,,53.3,,,,
4,1989-01,,53.6,,,,
5,1989-04,,54.4,,,,
6,1989-07,,54.7,,,,
7,1989-10,,54.8,,,,
8,1990-01,,55.4,,,,
9,1990-04,,56.5,,,,
10,1990-07,,55.9,,,,
11,1990-10,,55.8,,,,
12,1991-01,,54.4,,,,
13,1991-04,,54.2,,,,
14,1991-07,,53.9,,,,
15,1991-10,,54.2,,,,
16,1992-01,,54.3,,,,
17,1992-04,,54.8,,,,
18,1992-07,,53.0,,,,
19,1992-10,,53.0,,,,
20,1993-01,,53.1,,,,
21,1993-04,,53.3,,,,
22,1993-07,,53.6,,,,
23,1993-10,,53.7,,,,
24,1994-01,,53.8,,,,
25,1994-04,,54.1,,,,
26,1994-07,,54.4,,,,
27,1994-10,,54.7,,,,
28,1995-01,,55.4,,,,
29,1995-04,,55.6,,,,
30,1995-07,,55.8,,,,
31,1995-10,,56.0,,,,
32,1996-01,,56.1,,,,
33,1996-04,,56.3,,,,
34,1996-07,,56.4,,,,
35,1996-10,,56.6,,,,
36,1997-01,,57.0,,,,
37,1997-04,,57.9,,,,
38,1997-07,,58.2,,,,
39,1997-10,,58.3,,,,
40,1998-01,,58.5,,,,
41,1998-04,,58.7,,,,
42,1998-07,,58.9,,,,
43,1998-10,,59.3,,,,
44,1999-01,,59.4,,,,
45,1999-04,,59.8,,,,
46,1999-07,,60.2,,,,
47,1999-10,,61.3,,,,
48,2000-01,,62.1,,,,
49,2000-04,,63.0,,,,
50,2000-07,,63.5,,,,
51,2000-10,,63.6,,,,
52,2001-01,,63.6,,,,
53,2001-04,,64.2,,,,
54,2001-07,,64.4,,,,
55,2001-10,,65.4,,,,
56,2002-01,,65.6,,,,
57,2002-04,,65.9,,,,
58,2002-07,,66.4,,,,
59,2002-10,,67.0,,,,
60,2003-01,,67.2,,,,
61,2003-04,,67.5,,,,
62,2003-07,,68.5,,,,
63,2003-10,,68.7,,,,
64,2004-01,,69.7,,,,
65,2004-04,,70.9,,,,
66,2004-07,,72.8,,,,
67,2004-10,,73.5,,,,
68,2005-01,,73.6,,,,
69,2005-04,,74.8,,,,
70,2005-07,,75.6,,,,
71,2005-10,,76.2,,,,
72,2006-01,,76.8,,,,
73,2006-04,,77.7,,,,
74,2006-07,,78.8,,,,
75,2006-10,,78.9,,,,
76,2007-01,,79.0,,,,
77,2007-04,,81.0,,,,
78,2007-07,,81.3,,,,
79,2007-10,,81.9,,,,
80,2008-01,,83.6,,,,
81,2008-04,,85.2,,,,
82,2008-07,,86.5,,,,
83,2008-10,,87.3,,,,
84,2009-01,,87.3,,,,
85,2009-04,,87.2,,,,
86,2009-07,,87.7,,,,
87,2009-10,,87.9,,,,
88,2010-01,,87.9,,,,
89,2010-04,,88.7,,,,
90,2010-07,,88.9,,,,
91,2010-10,,89.5,,,,
92,2011-01,,90.6,,,,
93,2011-04,,91.2,,,,
94,2011-07,,92.4,,,,
95,2011-10,,92.5,,,,
96,2012-01,,93.0,,,,
97,2012-04,,93.2,,,,
98,2012-07,,93.2,,,,
99,2012-10,,93.8,,,,
100,2013-01,,93.8,,,,
101,2013-04,,94.0,,,,
102,2013-07,,94.0,,,,
103,2013-10,,94.0,,,,
104,2014-01,,94.6,,,,
105,2014-04,,94.8,,,,
106,2014-07,,94.9,,,,
107,2014-10,,95.2,,,,
108,2015-01,,95.4,,,,
109,2015-04,,95.8,,,,
110,2015-07,,95.2,,,,
111,2015-10,,96.1,,,,
112,2016-01,,96.2,,,,
113,2016-04,,96.9,,,,
114,2016-07,,96.8,,,,
115,2016-10,,97.7,,,,
116,2017-01,98.8,98.7,98.8,98.5,98.7,98.5
117,2017-04,99.8,99.8,99.8,99.4,99.7,99.5
118,2017-07,100.5,100.6,100.5,100.9,100.7,100.9
119,2017-10,100.9,100.9,100.8,101.2,101.0,101.2
120,2018-01,101.8,101.8,101.8,102.0,101.9,102.0
121,2018-04,102.8,102.6,102.8,102.6,102.7,102.8
122,2018-07,103.9,103.8,103.9,103.4,103.7,103.5
123,2018-10,104.8,104.8,104.8,104.1,104.6,104.2
124,2019-01,106.3,106.3,106.3,105.8,106.2,105.9
125,2019-04,107.3,107.5,107.3,106.6,107.1,106.8
126,2019-07,108.0,108.2,108.0,107.2,107.8,107.5
127,2019-10,108.9,108.9,108.9,108.1,108.6,108.3
128,2020-01,109.7,109.8,109.7,109.0,109.5,109.1
129,2020-04,110.6,110.5,110.6,109.7,110.3,110.0
130,2020-07,113.4,112.1,113.6,112.4,113.1,112.9
131,2020-10,115.2,112.3,115.5,114.2,114.9,114.8
132,2021-01,119.7,114.4,120.4,118.4,119.4,119.3
133,2021-04,125.0,118.5,125.9,123.6,124.6,124.5
134,2021-07,129.7,120.8,130.9,128.7,129.5,130.1
135,2021-10,136.1,125.3,137.5,134.9,135.9,136.8
136,2022-01,142.4,130.1,144.0,140.8,142.0,142.9
137,2022-04,146.8,134.0,148.5,145.4,146.5,147.3
138,2022-07,149.3,136.0,151.0,147.7,148.9,149.6
