,REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,VALUE
0,1981-01,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,30.0
1,1981-02,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,30.2
2,1981-03,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,30.5
3,1981-04,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,30.8
4,1981-05,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,31.1
5,1981-06,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,31.5
6,1981-07,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,31.7
7,1981-08,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,31.7
8,1981-09,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,32.1
9,1981-10,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,32.4
10,1981-11,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,32.7
11,1981-12,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.1
12,1982-01,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.6
13,1982-02,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.5
14,1982-03,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.5
15,1982-04,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.5
16,1982-05,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.5
17,1982-06,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.5
18,1982-07,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.8
19,1982-08,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.9
20,1982-09,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,34.0
21,1982-10,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,34.3
22,1982-11,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,34.0
23,1982-12,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,34.0
24,1983-01,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,34.1
25,1983-02,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.8
26,1983-03,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.6
27,1983-04,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",347,33.8
