,REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,VALUE
0,1981-01,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,22.6
1,1981-02,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,23.2
2,1981-03,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,24.8
3,1981-04,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.5
4,1981-05,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,27.7
5,1981-06,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,27.7
6,1981-07,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,27.7
7,1981-08,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,28.0
8,1981-09,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,28.1
9,1981-10,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,28.1
10,1981-11,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,28.1
11,1981-12,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,28.1
12,1982-01,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,28.2
13,1982-02,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,28.0
14,1982-03,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,28.0
15,1982-04,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,28.0
16,1982-05,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,27.9
17,1982-06,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,27.9
18,1982-07,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,27.9
19,1982-08,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,27.2
20,1982-09,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,27.1
21,1982-10,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.6
22,1982-11,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.7
23,1982-12,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.4
24,1983-01,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.5
25,1983-02,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.3
26,1983-03,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.2
27,1983-04,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.1
28,1983-05,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.0
29,1983-06,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.2
30,1983-07,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.1
31,1983-08,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.2
32,1983-09,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.1
33,1983-10,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.1
34,1983-11,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.1
35,1983-12,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.1
36,1984-01,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.1
37,1984-02,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.0
38,1984-03,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.2
39,1984-04,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.1
40,1984-05,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.3
41,1984-06,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.3
42,1984-07,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.4
43,1984-08,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,26.3
