,REF_DATE,GEO,New housing price indexes,UOM,HPI_quebec_qc
0,1981-01,"Québec, Quebec",House only,"Index, 201612=100",34.9
1,1981-02,"Québec, Quebec",House only,"Index, 201612=100",35.4
2,1981-03,"Québec, Quebec",House only,"Index, 201612=100",35.4
3,1981-04,"Québec, Quebec",House only,"Index, 201612=100",35.7
4,1981-05,"Québec, Quebec",House only,"Index, 201612=100",36.1
5,1981-06,"Québec, Quebec",House only,"Index, 201612=100",36.1
6,1981-07,"Québec, Quebec",House only,"Index, 201612=100",36.2
7,1981-08,"Québec, Quebec",House only,"Index, 201612=100",36.6
8,1981-09,"Québec, Quebec",House only,"Index, 201612=100",36.6
9,1981-10,"Québec, Quebec",House only,"Index, 201612=100",36.6
10,1981-11,"Québec, Quebec",House only,"Index, 201612=100",36.8
11,1981-12,"Québec, Quebec",House only,"Index, 201612=100",36.8
12,1982-01,"Québec, Quebec",House only,"Index, 201612=100",37.3
13,1982-02,"Québec, Quebec",House only,"Index, 201612=100",37.8
14,1982-03,"Québec, Quebec",House only,"Index, 201612=100",37.8
15,1982-04,"Québec, Quebec",House only,"Index, 201612=100",37.9
16,1982-05,"Québec, Quebec",House only,"Index, 201612=100",38.0
17,1982-06,"Québec, Quebec",House only,"Index, 201612=100",38.1
18,1982-07,"Québec, Quebec",House only,"Index, 201612=100",38.1
19,1982-08,"Québec, Quebec",House only,"Index, 201612=100",38.5
20,1982-09,"Québec, Quebec",House only,"Index, 201612=100",38.9
21,1982-10,"Québec, Quebec",House only,"Index, 201612=100",38.9
22,1982-11,"Québec, Quebec",House only,"Index, 201612=100",39.0
23,1982-12,"Québec, Quebec",House only,"Index, 201612=100",39.1
24,1983-01,"Québec, Quebec",House only,"Index, 201612=100",39.5
25,1983-02,"Québec, Quebec",House only,"Index, 201612=100",39.8
26,1983-03,"Québec, Quebec",House only,"Index, 201612=100",39.8
27,1983-04,"Québec, Quebec",House only,"Index, 201612=100",40.1
28,1983-05,"Québec, Quebec",House only,"Index, 201612=100",40.8
29,1983-06,"Québec, Quebec",House only,"Index, 201612=100",41.2
30,1983-07,"Québec, Quebec",House only,"Index, 201612=100",41.4
31,1983-08,"Québec, Quebec",House only,"Index, 201612=100",42.0
32,1983-09,"Québec, Quebec",House only,"Index, 201612=100",42.0
33,1983-10,"Québec, Quebec",House only,"Index, 201612=100",42.1
34,1983-11,"Québec, Quebec",House only,"Index, 201612=100",42.2
35,1983-12,"Québec, Quebec",House only,"Index, 201612=100",42.2
36,1984-01,"Québec, Quebec",House only,"Index, 201612=100",42.2
37,1984-02,"Québec, Quebec",House only,"Index, 201612=100",42.5
38,1984-03,"Québec, Quebec",House only,"Index, 201612=100",42.5
