,REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,VALUE
0,1981-01,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,20.7
1,1981-02,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,21.2
2,1981-03,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,21.5
3,1981-04,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,22.4
4,1981-05,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.1
5,1981-06,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.1
6,1981-07,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.1
7,1981-08,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.3
8,1981-09,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.3
9,1981-10,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.3
10,1981-11,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.3
11,1981-12,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.3
12,1982-01,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.3
13,1982-02,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.5
14,1982-03,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.5
15,1982-04,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.5
16,1982-05,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.5
17,1982-06,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.5
18,1982-07,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.5
19,1982-08,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.5
20,1982-09,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.5
21,1982-10,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.5
22,1982-11,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.3
23,1982-12,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.3
24,1983-01,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.3
25,1983-02,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.6
26,1983-03,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.6
27,1983-04,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.6
28,1983-05,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.8
29,1983-06,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.8
30,1983-07,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,23.8
31,1983-08,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,24.0
32,1983-09,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,24.0
33,1983-10,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,24.0
34,1983-11,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,24.0
35,1983-12,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",347,24.0
