,REF_DATE,GEO,New housing price indexes,UOM,HPI_saskatoon_sask
0,1981-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",35.8
1,1981-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",35.8
2,1981-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.4
3,1981-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.3
4,1981-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.7
5,1981-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",38.0
6,1981-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.2
7,1981-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.2
8,1981-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.2
9,1981-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.3
10,1981-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.3
11,1981-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",39.3
12,1982-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",38.0
13,1982-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",38.0
14,1982-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.8
15,1982-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",38.0
16,1982-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",38.0
17,1982-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",38.0
18,1982-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",38.0
19,1982-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",38.0
20,1982-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.6
21,1982-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.7
22,1982-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.7
23,1982-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.7
24,1983-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.2
25,1983-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
26,1983-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
27,1983-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",38.0
28,1983-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.8
29,1983-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.8
30,1983-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.8
31,1983-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.8
32,1983-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.8
33,1983-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.0
34,1983-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
35,1983-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
36,1984-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
37,1984-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.8
38,1984-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.8
39,1984-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.7
40,1984-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
41,1984-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
42,1984-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
43,1984-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
44,1984-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
45,1984-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
46,1984-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
47,1984-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
48,1985-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
49,1985-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
50,1985-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
51,1985-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.9
52,1985-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.0
53,1985-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.0
54,1985-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.1
55,1985-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.7
56,1985-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.8
57,1985-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.9
58,1985-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",37.0
