,REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,VALUE
0,1981-01,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,28.3
1,1981-02,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,28.6
2,1981-03,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,28.6
3,1981-04,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,28.6
4,1981-05,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,28.9
5,1981-06,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
6,1981-07,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
7,1981-08,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
8,1981-09,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
9,1981-10,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
10,1981-11,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
11,1981-12,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
12,1982-01,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
13,1982-02,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
14,1982-03,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
15,1982-04,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
16,1982-05,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.2
17,1982-06,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.6
18,1982-07,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.6
19,1982-08,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.6
20,1982-09,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.6
21,1982-10,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.6
22,1982-11,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,29.6
23,1982-12,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,30.7
24,1983-01,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,30.7
25,1983-02,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,30.7
26,1983-03,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,30.5
27,1983-04,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.6
28,1983-05,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.6
29,1983-06,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.6
30,1983-07,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.6
31,1983-08,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.6
32,1983-09,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.6
33,1983-10,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.6
34,1983-11,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.7
35,1983-12,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.7
36,1984-01,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.7
37,1984-02,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,31.7
38,1984-03,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,32.2
39,1984-04,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,32.3
40,1984-05,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,32.3
41,1984-06,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,32.3
42,1984-07,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,32.6
43,1984-08,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,32.6
44,1984-09,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,32.9
45,1984-10,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,32.9
46,1984-11,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,33.6
47,1984-12,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,33.6
48,1985-01,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,33.6
49,1985-02,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,33.6
50,1985-03,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,34.7
51,1985-04,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,34.7
52,1985-05,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,35.3
53,1985-06,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,35.4
54,1985-07,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,35.4
55,1985-08,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,35.8
56,1985-09,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,35.9
57,1985-10,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,35.9
58,1985-11,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,35.9
59,1985-12,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,36.3
60,1986-01,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,37.3
61,1986-02,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,37.4
62,1986-03,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,38.0
63,1986-04,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,38.5
64,1986-05,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,39.1
65,1986-06,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,39.1
