,REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,VALUE
0,1981-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,61.4
1,1981-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.1
2,1981-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.1
3,1981-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.1
4,1981-05,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,63.3
5,1981-06,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,63.3
6,1981-07,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,63.6
7,1981-08,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,64.6
8,1981-09,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,64.6
9,1981-10,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.7
10,1981-11,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.7
11,1981-12,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.7
12,1982-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.7
13,1982-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.2
14,1982-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.1
15,1982-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.1
16,1982-05,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.1
17,1982-06,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.1
18,1982-07,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,61.4
19,1982-08,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,61.4
20,1982-09,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,61.4
21,1982-10,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,60.8
22,1982-11,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,60.8
23,1982-12,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,60.8
24,1983-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,60.8
25,1983-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,60.8
26,1983-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,60.8
27,1983-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.2
28,1983-05,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.2
29,1983-06,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,62.6
30,1983-07,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,63.6
31,1983-08,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,64.6
32,1983-09,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,64.9
33,1983-10,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,64.9
34,1983-11,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,65.0
35,1983-12,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,66.0
36,1984-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,66.0
37,1984-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,68.3
38,1984-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,69.2
39,1984-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,69.2
40,1984-05,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,69.2
41,1984-06,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,69.2
42,1984-07,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,69.2
43,1984-08,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,69.2
44,1984-09,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,69.2
45,1984-10,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,69.2
46,1984-11,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,71.3
47,1984-12,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,71.3
48,1985-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,71.3
49,1985-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,72.0
50,1985-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,74.1
51,1985-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,74.4
52,1985-05,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.1
53,1985-06,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.1
54,1985-07,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.1
55,1985-08,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.1
56,1985-09,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.1
57,1985-10,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.1
58,1985-11,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.1
59,1985-12,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.1
60,1986-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.1
61,1986-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.3
62,1986-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.3
63,1986-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,75.3
64,1986-05,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,76.1
65,1986-06,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,76.1
66,1986-07,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,76.1
67,1986-08,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,76.5
68,1986-09,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,76.5
69,1986-10,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,76.5
70,1986-11,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,76.5
71,1986-12,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,76.5
72,1987-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,76.5
73,1987-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
74,1987-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
75,1987-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
76,1987-05,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
77,1987-06,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
78,1987-07,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
79,1987-08,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
80,1987-09,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
81,1987-10,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
82,1987-11,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
83,1987-12,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
84,1988-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
85,1988-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
86,1988-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,79.0
87,1988-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
88,1988-05,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
89,1988-06,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
90,1988-07,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
91,1988-08,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
92,1988-09,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
93,1988-10,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
94,1988-11,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
95,1988-12,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
96,1989-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,82.1
97,1989-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,84.0
98,1989-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,84.0
99,1989-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,84.1
100,1989-05,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,84.1
101,1989-06,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,84.1
102,1989-07,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,84.1
103,1989-08,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,83.8
104,1989-09,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,83.8
105,1989-10,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,83.8
106,1989-11,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,83.8
107,1989-12,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,83.8
108,1990-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,83.8
109,1990-02,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,84.4
110,1990-03,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,84.4
111,1990-04,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,84.3
