,REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,VALUE
0,1981-01,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,54.6
1,1981-02,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,55.6
2,1981-03,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,55.6
3,1981-04,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,57.0
4,1981-05,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,57.0
5,1981-06,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,57.2
6,1981-07,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,57.2
7,1981-08,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,57.5
8,1981-09,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,57.5
9,1981-10,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,57.5
10,1981-11,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,58.6
11,1981-12,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,58.6
12,1982-01,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,58.6
13,1982-02,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.1
14,1982-03,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.4
15,1982-04,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,58.4
16,1982-05,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,58.9
17,1982-06,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,58.9
18,1982-07,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,58.9
19,1982-08,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,58.4
20,1982-09,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.5
21,1982-10,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.5
22,1982-11,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.5
23,1982-12,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.5
24,1983-01,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.5
25,1983-02,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.5
26,1983-03,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.5
27,1983-04,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,59.5
28,1983-05,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,60.8
29,1983-06,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,60.8
30,1983-07,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,60.8
31,1983-08,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,60.9
32,1983-09,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,60.9
33,1983-10,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,61.3
34,1983-11,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,61.3
35,1983-12,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,62.2
36,1984-01,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,62.8
37,1984-02,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,65.7
38,1984-03,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.7
39,1984-04,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.9
40,1984-05,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.9
41,1984-06,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.9
42,1984-07,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.9
43,1984-08,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.9
44,1984-09,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.9
45,1984-10,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.9
46,1984-11,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,64.0
47,1984-12,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,64.3
48,1985-01,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,64.3
49,1985-02,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.3
50,1985-03,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,63.3
51,1985-04,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,64.5
52,1985-05,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,64.5
53,1985-06,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,64.5
