,REF_DATE,GEO,New housing price indexes,UOM,HPI_vancouver_bc
0,1981-01,"Vancouver, British Columbia",House only,"Index, 201612=100",96.1
1,1981-02,"Vancouver, British Columbia",House only,"Index, 201612=100",97.5
2,1981-03,"Vancouver, British Columbia",House only,"Index, 201612=100",97.5
3,1981-04,"Vancouver, British Columbia",House only,"Index, 201612=100",97.7
4,1981-05,"Vancouver, British Columbia",House only,"Index, 201612=100",97.7
5,1981-06,"Vancouver, British Columbia",House only,"Index, 201612=100",98.2
6,1981-07,"Vancouver, British Columbia",House only,"Index, 201612=100",97.7
7,1981-08,"Vancouver, British Columbia",House only,"Index, 201612=100",89.8
8,1981-09,"Vancouver, British Columbia",House only,"Index, 201612=100",89.3
9,1981-10,"Vancouver, British Columbia",House only,"Index, 201612=100",85.2
10,1981-11,"Vancouver, British Columbia",House only,"Index, 201612=100",81.1
11,1981-12,"Vancouver, British Columbia",House only,"Index, 201612=100",80.2
12,1982-01,"Vancouver, British Columbia",House only,"Index, 201612=100",79.6
13,1982-02,"Vancouver, British Columbia",House only,"Index, 201612=100",78.0
14,1982-03,"Vancouver, British Columbia",House only,"Index, 201612=100",73.2
15,1982-04,"Vancouver, British Columbia",House only,"Index, 201612=100",72.6
16,1982-05,"Vancouver, British Columbia",House only,"Index, 201612=100",70.7
17,1982-06,"Vancouver, British Columbia",House only,"Index, 201612=100",70.1
18,1982-07,"Vancouver, British Columbia",House only,"Index, 201612=100",70.9
19,1982-08,"Vancouver, British Columbia",House only,"Index, 201612=100",71.9
20,1982-09,"Vancouver, British Columbia",House only,"Index, 201612=100",73.1
21,1982-10,"Vancouver, British Columbia",House only,"Index, 201612=100",73.5
22,1982-11,"Vancouver, British Columbia",House only,"Index, 201612=100",74.1
23,1982-12,"Vancouver, British Columbia",House only,"Index, 201612=100",73.6
24,1983-01,"Vancouver, British Columbia",House only,"Index, 201612=100",74.4
25,1983-02,"Vancouver, British Columbia",House only,"Index, 201612=100",75.8
26,1983-03,"Vancouver, British Columbia",House only,"Index, 201612=100",75.5
27,1983-04,"Vancouver, British Columbia",House only,"Index, 201612=100",75.8
28,1983-05,"Vancouver, British Columbia",House only,"Index, 201612=100",75.8
29,1983-06,"Vancouver, British Columbia",House only,"Index, 201612=100",75.8
30,1983-07,"Vancouver, British Columbia",House only,"Index, 201612=100",76.1
31,1983-08,"Vancouver, British Columbia",House only,"Index, 201612=100",76.0
32,1983-09,"Vancouver, British Columbia",House only,"Index, 201612=100",76.0
33,1983-10,"Vancouver, British Columbia",House only,"Index, 201612=100",76.1
34,1983-11,"Vancouver, British Columbia",House only,"Index, 201612=100",76.1
35,1983-12,"Vancouver, British Columbia",House only,"Index, 201612=100",76.1
36,1984-01,"Vancouver, British Columbia",House only,"Index, 201612=100",76.2
37,1984-02,"Vancouver, British Columbia",House only,"Index, 201612=100",76.4
38,1984-03,"Vancouver, British Columbia",House only,"Index, 201612=100",76.8
39,1984-04,"Vancouver, British Columbia",House only,"Index, 201612=100",76.9
40,1984-05,"Vancouver, British Columbia",House only,"Index, 201612=100",76.9
41,1984-06,"Vancouver, British Columbia",House only,"Index, 201612=100",76.9
42,1984-07,"Vancouver, British Columbia",House only,"Index, 201612=100",76.9
43,1984-08,"Vancouver, British Columbia",House only,"Index, 201612=100",76.5
44,1984-09,"Vancouver, British Columbia",House only,"Index, 201612=100",76.0
