,REF_DATE,GEO,New housing price indexes,UOM,HPI_victoria_bc
0,1981-01,"Victoria, British Columbia",House only,"Index, 201612=100",206.8
1,1981-02,"Victoria, British Columbia",House only,"Index, 201612=100",209.1
2,1981-03,"Victoria, British Columbia",House only,"Index, 201612=100",210.6
3,1981-04,"Victoria, British Columbia",House only,"Index, 201612=100",210.6
4,1981-05,"Victoria, British Columbia",House only,"Index, 201612=100",212.4
5,1981-06,"Victoria, British Columbia",House only,"Index, 201612=100",210.6
6,1981-07,"Victoria, British Columbia",House only,"Index, 201612=100",206.2
7,1981-08,"Victoria, British Columbia",House only,"Index, 201612=100",206.2
8,1981-09,"Victoria, British Columbia",House only,"Index, 201612=100",200.8
9,1981-10,"Victoria, British Columbia",House only,"Index, 201612=100",200.6
10,1981-11,"Victoria, British Columbia",House only,"Index, 201612=100",198.5
11,1981-12,"Victoria, British Columbia",House only,"Index, 201612=100",204.2
12,1982-01,"Victoria, British Columbia",House only,"Index, 201612=100",204.2
13,1982-02,"Victoria, British Columbia",House only,"Index, 201612=100",193.1
14,1982-03,"Victoria, British Columbia",House only,"Index, 201612=100",184.9
15,1982-04,"Victoria, British Columbia",House only,"Index, 201612=100",180.1
16,1982-05,"Victoria, British Columbia",House only,"Index, 201612=100",181.6
17,1982-06,"Victoria, British Columbia",House only,"Index, 201612=100",179.9
18,1982-07,"Victoria, British Columbia",House only,"Index, 201612=100",181.1
19,1982-08,"Victoria, British Columbia",House only,"Index, 201612=100",182.7
20,1982-09,"Victoria, British Columbia",House only,"Index, 201612=100",186.7
21,1982-10,"Victoria, British Columbia",House only,"Index, 201612=100",186.7
22,1982-11,"Victoria, British Columbia",House only,"Index, 201612=100",185.3
23,1982-12,"Victoria, British Columbia",House only,"Index, 201612=100",184.5
24,1983-01,"Victoria, British Columbia",House only,"Index, 201612=100",185.5
25,1983-02,"Victoria, British Columbia",House only,"Index, 201612=100",185.5
26,1983-03,"Victoria, British Columbia",House only,"Index, 201612=100",183.2
27,1983-04,"Victoria, British Columbia",House only,"Index, 201612=100",183.2
28,1983-05,"Victoria, British Columbia",House only,"Index, 201612=100",183.2
29,1983-06,"Victoria, British Columbia",House only,"Index, 201612=100",186.5
30,1983-07,"Victoria, British Columbia",House only,"Index, 201612=100",187.3
31,1983-08,"Victoria, British Columbia",House only,"Index, 201612=100",187.3
32,1983-09,"Victoria, British Columbia",House only,"Index, 201612=100",189.1
33,1983-10,"Victoria, British Columbia",House only,"Index, 201612=100",187.8
34,1983-11,"Victoria, British Columbia",House only,"Index, 201612=100",187.8
35,1983-12,"Victoria, British Columbia",House only,"Index, 201612=100",185.8
36,1984-01,"Victoria, British Columbia",House only,"Index, 201612=100",185.2
37,1984-02,"Victoria, British Columbia",House only,"Index, 201612=100",185.3
38,1984-03,"Victoria, British Columbia",House only,"Index, 201612=100",187.6
39,1984-04,"Victoria, British Columbia",House only,"Index, 201612=100",187.6
40,1984-05,"Victoria, British Columbia",House only,"Index, 201612=100",186.5
41,1984-06,"Victoria, British Columbia",House only,"Index, 201612=100",185.2
42,1984-07,"Victoria, British Columbia",House only,"Index, 201612=100",182.1
43,1984-08,"Victoria, British Columbia",House only,"Index, 201612=100",177.2
44,1984-09,"Victoria, British Columbia",House only,"Index, 201612=100",175.8
45,1984-10,"Victoria, British Columbia",House only,"Index, 201612=100",172.6
46,1984-11,"Victoria, British Columbia",House only,"Index, 201612=100",175.0
47,1984-12,"Victoria, British Columbia",House only,"Index, 201612=100",175.0
48,1985-01,"Victoria, British Columbia",House only,"Index, 201612=100",175.2
49,1985-02,"Victoria, British Columbia",House only,"Index, 201612=100",175.2
50,1985-03,"Victoria, British Columbia",House only,"Index, 201612=100",174.7
51,1985-04,"Victoria, British Columbia",House only,"Index, 201612=100",174.0
52,1985-05,"Victoria, British Columbia",House only,"Index, 201612=100",169.9
