,REF_DATE,GEO,New housing price indexes,UOM,HPI_windsor_ont
0,1981-01,"Windsor, Ontario",House only,"Index, 201612=100",64.9
1,1981-02,"Windsor, Ontario",House only,"Index, 201612=100",64.9
2,1981-03,"Windsor, Ontario",House only,"Index, 201612=100",64.1
3,1981-04,"Windsor, Ontario",House only,"Index, 201612=100",63.9
4,1981-05,"Windsor, Ontario",House only,"Index, 201612=100",63.9
5,1981-06,"Windsor, Ontario",House only,"Index, 201612=100",63.9
6,1981-07,"Windsor, Ontario",House only,"Index, 201612=100",63.9
7,1981-08,"Windsor, Ontario",House only,"Index, 201612=100",63.9
8,1981-09,"Windsor, Ontario",House only,"Index, 201612=100",60.8
9,1981-10,"Windsor, Ontario",House only,"Index, 201612=100",60.8
10,1981-11,"Windsor, Ontario",House only,"Index, 201612=100",60.8
11,1981-12,"Windsor, Ontario",House only,"Index, 201612=100",60.8
12,1982-01,"Windsor, Ontario",House only,"Index, 201612=100",60.8
13,1982-02,"Windsor, Ontario",House only,"Index, 201612=100",60.8
14,1982-03,"Windsor, Ontario",House only,"Index, 201612=100",60.8
15,1982-04,"Windsor, Ontario",House only,"Index, 201612=100",60.8
16,1982-05,"Windsor, Ontario",House only,"Index, 201612=100",58.7
17,1982-06,"Windsor, Ontario",House only,"Index, 201612=100",58.2
18,1982-07,"Windsor, Ontario",House only,"Index, 201612=100",58.2
19,1982-08,"Windsor, Ontario",House only,"Index, 201612=100",58.2
20,1982-09,"Windsor, Ontario",House only,"Index, 201612=100",58.2
21,1982-10,"Windsor, Ontario",House only,"Index, 201612=100",55.9
22,1982-11,"Windsor, Ontario",House only,"Index, 201612=100",56.4
23,1982-12,"Windsor, Ontario",House only,"Index, 201612=100",57.3
24,1983-01,"Windsor, Ontario",House only,"Index, 201612=100",57.3
25,1983-02,"Windsor, Ontario",House only,"Index, 201612=100",57.3
26,1983-03,"Windsor, Ontario",House only,"Index, 201612=100",57.3
27,1983-04,"Windsor, Ontario",House only,"Index, 201612=100",57.5
28,1983-05,"Windsor, Ontario",House only,"Index, 201612=100",58.6
29,1983-06,"Windsor, Ontario",House only,"Index, 201612=100",58.6
30,1983-07,"Windsor, Ontario",House only,"Index, 201612=100",58.6
31,1983-08,"Windsor, Ontario",House only,"Index, 201612=100",58.6
32,1983-09,"Windsor, Ontario",House only,"Index, 201612=100",60.0
33,1983-10,"Windsor, Ontario",House only,"Index, 201612=100",60.2
34,1983-11,"Windsor, Ontario",House only,"Index, 201612=100",62.5
35,1983-12,"Windsor, Ontario",House only,"Index, 201612=100",62.5
36,1984-01,"Windsor, Ontario",House only,"Index, 201612=100",63.2
37,1984-02,"Windsor, Ontario",House only,"Index, 201612=100",63.4
38,1984-03,"Windsor, Ontario",House only,"Index, 201612=100",63.4
39,1984-04,"Windsor, Ontario",House only,"Index, 201612=100",63.8
40,1984-05,"Windsor, Ontario",House only,"Index, 201612=100",63.8
41,1984-06,"Windsor, Ontario",House only,"Index, 201612=100",64.1
42,1984-07,"Windsor, Ontario",House only,"Index, 201612=100",64.1
43,1984-08,"Windsor, Ontario",House only,"Index, 201612=100",64.1
44,1984-09,"Windsor, Ontario",House only,"Index, 201612=100",63.9
45,1984-10,"Windsor, Ontario",House only,"Index, 201612=100",63.4
46,1984-11,"Windsor, Ontario",House only,"Index, 201612=100",63.8
47,1984-12,"Windsor, Ontario",House only,"Index, 201612=100",63.8
48,1985-01,"Windsor, Ontario",House only,"Index, 201612=100",63.8
49,1985-02,"Windsor, Ontario",House only,"Index, 201612=100",63.8
50,1985-03,"Windsor, Ontario",House only,"Index, 201612=100",65.5
51,1985-04,"Windsor, Ontario",House only,"Index, 201612=100",65.5
52,1985-05,"Windsor, Ontario",House only,"Index, 201612=100",67.5
53,1985-06,"Windsor, Ontario",House only,"Index, 201612=100",67.5
54,1985-07,"Windsor, Ontario",House only,"Index, 201612=100",67.8
55,1985-08,"Windsor, Ontario",House only,"Index, 201612=100",68.4
56,1985-09,"Windsor, Ontario",House only,"Index, 201612=100",68.7
57,1985-10,"Windsor, Ontario",House only,"Index, 201612=100",68.6
58,1985-11,"Windsor, Ontario",House only,"Index, 201612=100",69.4
59,1985-12,"Windsor, Ontario",House only,"Index, 201612=100",69.4
60,1986-01,"Windsor, Ontario",House only,"Index, 201612=100",69.8
61,1986-02,"Windsor, Ontario",House only,"Index, 201612=100",71.4
62,1986-03,"Windsor, Ontario",House only,"Index, 201612=100",71.4
63,1986-04,"Windsor, Ontario",House only,"Index, 201612=100",72.0
64,1986-05,"Windsor, Ontario",House only,"Index, 201612=100",73.3
65,1986-06,"Windsor, Ontario",House only,"Index, 201612=100",73.3
66,1986-07,"Windsor, Ontario",House only,"Index, 201612=100",73.3
67,1986-08,"Windsor, Ontario",House only,"Index, 201612=100",73.3
68,1986-09,"Windsor, Ontario",House only,"Index, 201612=100",73.2
69,1986-10,"Windsor, Ontario",House only,"Index, 201612=100",73.2
70,1986-11,"Windsor, Ontario",House only,"Index, 201612=100",73.8
71,1986-12,"Windsor, Ontario",House only,"Index, 201612=100",73.6
72,1987-01,"Windsor, Ontario",House only,"Index, 201612=100",74.1
73,1987-02,"Windsor, Ontario",House only,"Index, 201612=100",75.5
74,1987-03,"Windsor, Ontario",House only,"Index, 201612=100",75.7
75,1987-04,"Windsor, Ontario",House only,"Index, 201612=100",76.6
76,1987-05,"Windsor, Ontario",House only,"Index, 201612=100",77.2
77,1987-06,"Windsor, Ontario",House only,"Index, 201612=100",77.9
78,1987-07,"Windsor, Ontario",House only,"Index, 201612=100",77.9
79,1987-08,"Windsor, Ontario",House only,"Index, 201612=100",77.9
80,1987-09,"Windsor, Ontario",House only,"Index, 201612=100",77.9
81,1987-10,"Windsor, Ontario",House only,"Index, 201612=100",77.7
82,1987-11,"Windsor, Ontario",House only,"Index, 201612=100",77.6
83,1987-12,"Windsor, Ontario",House only,"Index, 201612=100",77.6
84,1988-01,"Windsor, Ontario",House only,"Index, 201612=100",77.5
85,1988-02,"Windsor, Ontario",House only,"Index, 201612=100",81.4
86,1988-03,"Windsor, Ontario",House only,"Index, 201612=100",81.5
87,1988-04,"Windsor, Ontario",House only,"Index, 201612=100",81.2
88,1988-05,"Windsor, Ontario",House only,"Index, 201612=100",81.5
89,1988-06,"Windsor, Ontario",House only,"Index, 201612=100",81.5
90,1988-07,"Windsor, Ontario",House only,"Index, 201612=100",81.5
91,1988-08,"Windsor, Ontario",House only,"Index, 201612=100",81.5
92,1988-09,"Windsor, Ontario",House only,"Index, 201612=100",81.5
93,1988-10,"Windsor, Ontario",House only,"Index, 201612=100",81.5
94,1988-11,"Windsor, Ontario",House only,"Index, 201612=100",81.5
95,1988-12,"Windsor, Ontario",House only,"Index, 201612=100",81.5
96,1989-01,"Windsor, Ontario",House only,"Index, 201612=100",81.8
97,1989-02,"Windsor, Ontario",House only,"Index, 201612=100",85.2
98,1989-03,"Windsor, Ontario",House only,"Index, 201612=100",86.5
99,1989-04,"Windsor, Ontario",House only,"Index, 201612=100",87.5
100,1989-05,"Windsor, Ontario",House only,"Index, 201612=100",87.5
101,1989-06,"Windsor, Ontario",House only,"Index, 201612=100",88.1
102,1989-07,"Windsor, Ontario",House only,"Index, 201612=100",88.1
103,1989-08,"Windsor, Ontario",House only,"Index, 201612=100",88.1
104,1989-09,"Windsor, Ontario",House only,"Index, 201612=100",88.1
105,1989-10,"Windsor, Ontario",House only,"Index, 201612=100",88.1
106,1989-11,"Windsor, Ontario",House only,"Index, 201612=100",88.1
107,1989-12,"Windsor, Ontario",House only,"Index, 201612=100",88.1
108,1990-01,"Windsor, Ontario",House only,"Index, 201612=100",88.1
109,1990-02,"Windsor, Ontario",House only,"Index, 201612=100",88.1
110,1990-03,"Windsor, Ontario",House only,"Index, 201612=100",89.4
111,1990-04,"Windsor, Ontario",House only,"Index, 201612=100",89.3
112,1990-05,"Windsor, Ontario",House only,"Index, 201612=100",89.3
113,1990-06,"Windsor, Ontario",House only,"Index, 201612=100",89.5
114,1990-07,"Windsor, Ontario",House only,"Index, 201612=100",89.5
115,1990-08,"Windsor, Ontario",House only,"Index, 201612=100",89.5
116,1990-09,"Windsor, Ontario",House only,"Index, 201612=100",89.5
117,1990-10,"Windsor, Ontario",House only,"Index, 201612=100",90.2
118,1990-11,"Windsor, Ontario",House only,"Index, 201612=100",90.2
119,1990-12,"Windsor, Ontario",House only,"Index, 201612=100",90.2
120,1991-01,"Windsor, Ontario",House only,"Index, 201612=100",90.2
121,1991-02,"Windsor, Ontario",House only,"Index, 201612=100",90.2
122,1991-03,"Windsor, Ontario",House only,"Index, 201612=100",89.1
123,1991-04,"Windsor, Ontario",House only,"Index, 201612=100",89.3
124,1991-05,"Windsor, Ontario",House only,"Index, 201612=100",88.6
125,1991-06,"Windsor, Ontario",House only,"Index, 201612=100",88.6
126,1991-07,"Windsor, Ontario",House only,"Index, 201612=100",88.6
127,1991-08,"Windsor, Ontario",House only,"Index, 201612=100",88.6
128,1991-09,"Windsor, Ontario",House only,"Index, 201612=100",88.6
129,1991-10,"Windsor, Ontario",House only,"Index, 201612=100",88.6
130,1991-11,"Windsor, Ontario",House only,"Index, 201612=100",89.0
131,1991-12,"Windsor, Ontario",House only,"Index, 201612=100",89.0
132,1992-01,"Windsor, Ontario",House only,"Index, 201612=100",89.8
133,1992-02,"Windsor, Ontario",House only,"Index, 201612=100",89.8
134,1992-03,"Windsor, Ontario",House only,"Index, 201612=100",89.8
135,1992-04,"Windsor, Ontario",House only,"Index, 201612=100",89.1
136,1992-05,"Windsor, Ontario",House only,"Index, 201612=100",89.1
137,1992-06,"Windsor, Ontario",House only,"Index, 201612=100",88.9
138,1992-07,"Windsor, Ontario",House only,"Index, 201612=100",88.9
139,1992-08,"Windsor, Ontario",House only,"Index, 201612=100",88.9
140,1992-09,"Windsor, Ontario",House only,"Index, 201612=100",89.5
141,1992-10,"Windsor, Ontario",House only,"Index, 201612=100",89.5
142,1992-11,"Windsor, Ontario",House only,"Index, 201612=100",89.5
143,1992-12,"Windsor, Ontario",House only,"Index, 201612=100",88.2
144,1993-01,"Windsor, Ontario",House only,"Index, 201612=100",88.2
145,1993-02,"Windsor, Ontario",House only,"Index, 201612=100",88.2
146,1993-03,"Windsor, Ontario",House only,"Index, 201612=100",89.0
147,1993-04,"Windsor, Ontario",House only,"Index, 201612=100",89.0
148,1993-05,"Windsor, Ontario",House only,"Index, 201612=100",89.0
149,1993-06,"Windsor, Ontario",House only,"Index, 201612=100",89.0
150,1993-07,"Windsor, Ontario",House only,"Index, 201612=100",89.0
151,1993-08,"Windsor, Ontario",House only,"Index, 201612=100",88.8
152,1993-09,"Windsor, Ontario",House only,"Index, 201612=100",88.8
153,1993-10,"Windsor, Ontario",House only,"Index, 201612=100",88.1
154,1993-11,"Windsor, Ontario",House only,"Index, 201612=100",88.1
155,1993-12,"Windsor, Ontario",House only,"Index, 201612=100",88.1
156,1994-01,"Windsor, Ontario",House only,"Index, 201612=100",88.1
157,1994-02,"Windsor, Ontario",House only,"Index, 201612=100",88.1
158,1994-03,"Windsor, Ontario",House only,"Index, 201612=100",88.1
159,1994-04,"Windsor, Ontario",House only,"Index, 201612=100",88.6
160,1994-05,"Windsor, Ontario",House only,"Index, 201612=100",88.6
161,1994-06,"Windsor, Ontario",House only,"Index, 201612=100",88.6
162,1994-07,"Windsor, Ontario",House only,"Index, 201612=100",88.6
163,1994-08,"Windsor, Ontario",House only,"Index, 201612=100",88.6
164,1994-09,"Windsor, Ontario",House only,"Index, 201612=100",88.6
165,1994-10,"Windsor, Ontario",House only,"Index, 201612=100",88.6
166,1994-11,"Windsor, Ontario",House only,"Index, 201612=100",88.6
167,1994-12,"Windsor, Ontario",House only,"Index, 201612=100",88.6
