,REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,VALUE
0,1981-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,29.3
1,1981-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,29.7
2,1981-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,30.3
3,1981-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,30.5
4,1981-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,31.1
5,1981-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,31.8
6,1981-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,32.0
7,1981-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,32.9
8,1981-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,32.9
9,1981-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,32.9
10,1981-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,32.9
11,1981-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.6
12,1982-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.6
13,1982-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.6
14,1982-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.8
15,1982-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.9
16,1982-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.9
17,1982-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.9
18,1982-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.9
19,1982-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.2
20,1982-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.2
21,1982-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.0
22,1982-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.0
23,1982-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.6
24,1983-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.6
25,1983-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.6
26,1983-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.6
27,1983-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.8
28,1983-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.7
29,1983-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,33.7
30,1983-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.3
31,1983-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.3
32,1983-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.6
33,1983-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.6
34,1983-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.6
35,1983-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.6
36,1984-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.6
37,1984-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,34.8
38,1984-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.1
39,1984-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.0
40,1984-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.1
41,1984-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.1
42,1984-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.1
43,1984-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.4
44,1984-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.4
45,1984-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.4
46,1984-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.4
47,1984-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.4
48,1985-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,35.9
49,1985-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,36.0
50,1985-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,36.5
51,1985-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,36.5
52,1985-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,36.5
53,1985-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,36.7
54,1985-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,36.8
55,1985-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,36.9
56,1985-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,37.2
57,1985-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,37.2
58,1985-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,37.2
59,1985-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,37.3
60,1986-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,37.7
61,1986-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,37.9
62,1986-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,38.1
63,1986-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,38.6
64,1986-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,38.7
65,1986-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,38.8
66,1986-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,38.8
67,1986-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.2
68,1986-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.3
69,1986-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.3
70,1986-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.5
71,1986-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.7
72,1987-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.7
73,1987-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.2
74,1987-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.4
75,1987-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.6
76,1987-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.4
77,1987-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.4
78,1987-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.4
79,1987-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.4
80,1987-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.7
81,1987-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.6
82,1987-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.6
83,1987-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.6
84,1988-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.6
85,1988-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.8
86,1988-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.7
87,1988-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.7
88,1988-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.5
89,1988-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.5
90,1988-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.5
91,1988-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.5
92,1988-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.6
93,1988-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.6
94,1988-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.5
95,1988-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.3
96,1989-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.2
97,1989-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.1
98,1989-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.0
99,1989-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.9
100,1989-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.9
101,1989-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.9
102,1989-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,39.9
103,1989-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.1
104,1989-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.3
105,1989-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.4
106,1989-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.4
107,1989-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.4
108,1990-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.4
109,1990-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.6
110,1990-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.1
111,1990-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.2
112,1990-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.2
113,1990-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.4
114,1990-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.4
115,1990-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.4
116,1990-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.4
117,1990-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.4
118,1990-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.4
119,1990-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.3
120,1991-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.2
121,1991-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.3
122,1991-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.3
123,1991-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.1
124,1991-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.2
125,1991-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.4
126,1991-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.3
127,1991-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.3
128,1991-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.1
129,1991-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.0
130,1991-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.2
131,1991-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,41.2
132,1992-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.5
133,1992-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",347,40.6
