"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Raw materials price index, monthly, inactive",18100034,330-0008,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810003401",1;2;3;4;5,"ARCHIVED -  a cube publicly available but no longer being updated",Monthly,1981-01-01,2020-09-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"North American Product Classification System (NAPCS)",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
2,"Total, Raw materials price indexes (RMPI)",,1,,,,
2,"Crude energy products",[M51],2,1,,,
2,"Crude oil and crude bitumen",[141],3,2,,,
2,"Conventional crude oil",[14111],4,3,,,
2,"Natural gas",[142],7,2,,,
2,"Other energy products",[144],8,2,,,
2,Coal,[14411],9,8,,,
2,"Solid fuel products, not elsewhere classified",[14412],10,8,,,
2,"Fuel wood",[14413],11,8,,,
2,"Steam and heated or cooled air or water",[14414],12,8,,,
2,Steam,[144141],13,12,,,
2,"Total Raw materials price indexes (RMPI), excluding crude energy products",,15,1,,,
2,"Crop products",[M11],16,1,,,
2,Wheat,[112],17,16,,,
2,"Canola (including rapeseed)",[113],18,16,,,
2,"Fresh fruit, nuts and vegetables",[114],19,16,,,
2,"Fresh fruit and nuts",[11411],20,19,,,
2,"Fresh berries",[114111],21,20,,,
2,"Fresh tropical and semitropical fruit (except citrus fruit)",[114113],23,20,,,
2,"Other fresh fruit",[114114],24,20,,,
2,Nuts,[114115],25,20,,,
2,"Fresh potatoes",[11421],26,19,,,
2,"Fresh vegetables (except potatoes)",[11422],27,19,,,
2,"Other crop products",[115],28,16,,,
2,"Grains (except wheat)",[11511],29,28,,,
2,"Grain corn",[115111],30,29,,,
2,Oats,[115113],32,29,,,
2,Barley,[115114],33,29,,,
2,"Other grains, not elsewhere classified",[115115],34,29,,,
2,"Oilseeds (except canola)",[11512],35,28,,,
2,Soybeans,[115121],36,35,,,
2,"Oilseeds (except canola and soybeans)",[115122],37,35,,,
2,"Other miscellaneous crop products",[11513],38,28,,,
2,"Unstemmed leaf tobacco",[115131],39,38,,,
2,"Sugar cane and sugar beets",[115132],40,38,,,
2,"Raw tea",[115133],41,38,,,
2,"Cocoa beans",[115134],42,38,,,
2,"Green coffee beans",[115135],43,38,,,
2,"Maple syrup and sugar",[115136],44,38,,,
2,"Raw cotton",[115137],45,38,,,
2,"Other miscellaneous crop products, not elsewhere classified",[115139],47,38,,,
2,"Nursery and floriculture products",[11514],48,28,,,
2,"Nursery and floriculture products (except seeds and Christmas trees)",[115143],51,48,,,
2,"Animals and animal products",[M21],52,1,,,
2,"Live animals",[111],53,52,,,
2,"Cattle and calves",[11111],54,53,,,
2,Hogs,[11112],55,53,,,
2,"Live poultry",[11113],56,53,,,
2,Chickens,[111131],57,56,,,
2,Turkeys,[111132],58,56,,,
2,"Baby chicks and poults",[111133],59,56,,,
2,"Other live animals",[11114],61,53,,,
2,"Sheep, lambs and goats",[111141],62,61,,,
2,"Other miscellaneous live animals",[111144],65,61,,,
2,"Other animal products",[116],66,52,,,
