"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Raw materials price index, monthly","18100268",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810026801",1;2;3,"CURRENT - a cube available to the public and that is current","Monthly","1981-01-01","2022-09-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","North American Product Classification System (NAPCS)",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"2","Crude energy products","[M51]","2","1","",,
"2","Total, excluding crude energy products","","14","1","",,
"2","Crop products","[M11]","15","1","",,
"2","Animals and animal products","[M21]","31","1","",,
"2","Non-metallic minerals","[M31]","43","1","",,
"2","Logs, pulpwood, natural rubber and other forestry products","[M41]","52","1","",,
"2","Metal ores, concentrates and scrap","[M61]","59","1","",,
"2","Crude oil and bitumen","[141]","3","2","",,
"2","Natural gas","[142]","7","2","",,
"2","Coal","[144]","8","2","",,
"2","Other energy products","[145M]","11","2","",,
"2","Conventional crude oil","[14111]","4","3","",,
"2","Crude and diluted bitumen","[14112]","5","3","",,
"2","Synthetic crude oil","[14113]","6","3","",,
"2","Hard coal","[14411]","9","8","",,
"2","Brown coal","[14412]","10","8","",,
"2","Fuel wood and solid fuel products n.e.c.","[14512]","12","11","",,
"2","Steam and heated or cooled air or water","[14513]","13","11","",,
"2","Wheat","[112]","16","15","",,
"2","Canola (including rapeseed)","[113]","17","15","",,
"2","Fresh fruit, nuts and vegetables, and pulse crops","[114]","18","15","",,
"2","Other crop products","[115]","23","15","",,
"2","Cannabis seeds, plants and fresh flowering tops, in bulk","[213M]","28","15","",,
"2","Fresh fruit and nuts","[11411]","19","18","",,
"2","Fresh potatoes","[11421]","20","18","",,
"2","Fresh vegetables (except potatoes and pulse crops)","[11422]","21","18","",,
"2","Pulse crops (except soybeans)","[11431]","22","18","",,
"2","Grains (except wheat)","[11511]","24","23","",,
"2","Oilseeds (except canola)","[11512]","25","23","",,
"2","Other miscellaneous crop products","[11513]","26","23","",,
"2","Floriculture and nursery products, and sod","[11514]","27","23","",,
"2","Corn for grain","[115111]","76","24","",,
"2","Oats","[115113]","77","24","",,
"2","Barley","[115114]","78","24","",,
"2","Soybeans","[115121]","79","25","",,
"2","Oilseeds (except canola and soybeans)","[115122]","80","25","",,
"2","Cannabis seeds and vegetative plants, in bulk","[21311M]","29","28","",,
"2","Fresh cannabis flowering tops (including leaves), in bulk","[21312M]","30","28","",,
"2","Live animals","[111]","32","31","",,
"2","Other animal products","[116]","37","31","",,
"2","Fish, crustaceans, shellfish and other fishery products","[121]","41","31","",,
"2","Cattle and calves","[11111]","33","32","",,
"2","Hogs","[11112]","34","32","",,
"2","Poultry","[11113]","35","32","",,
"2","Other live animals","[11114]","36","32","",,
"2","Chickens","[111131]","81","35","",,
"2","Eggs in shell","[11611]","38","37","",,
"2","Unprocessed milk","[11612]","39","37","",,
"2","Raw furskins, and animal products n.e.c.","[11613]","40","37","",,
"2","Fish, crustaceans, shellfish and other fishery products","[12111]","42","41","",,
"2","Potash","[161]","44","43","",,
"2","Stone, sand, gravel, clay, and refractory minerals","[162]","46","43","",,
"2","Diamonds and other non-metallic minerals (except cut gemstones)","[163]","49","43","",,
"2","Potash","[16111]","45","44","",,
"2","Stone","[16211]","47","46","",,
"2","Sand, gravel, clay, and refractory minerals","[16212]","48","46","",,
"2","Crushed stone","[162112]","82","47","",,
