"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","95.4","","","","1"
"2017-01","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","98.5","","","","1"
"2017-01","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","98.4","","","","1"
"2017-01","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","101.6","","","","1"
"2017-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","101.5","","","","1"
"2017-01","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","97.2","","","","1"
"2017-01","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","100.9","","","","1"
"2017-01","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","100.2","","","","1"
"2017-01","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","91.6","","","","1"
"2017-01","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","96.0","","","","1"
"2017-04","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","97.9","","","","1"
"2017-04","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","99.4","","","","1"
"2017-04","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","98.5","","","","1"
"2017-04","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","100.7","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","99.6","","","","1"
"2017-04","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","99.3","","","","1"
"2017-04","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","102.4","","","","1"
"2017-04","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","100.4","","","","1"
"2017-04","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","95.4","","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","97.3","","","","1"
"2017-07","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","101.9","","","","1"
"2017-07","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","100.4","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","100.0","","","","1"
"2017-07","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","99.2","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","101.3","","","","1"
"2017-07","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","100.8","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","99.5","","","","1"
"2017-07","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","100.1","","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","104.0","","","","1"
"2017-07","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","102.6","","","","1"
