Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,217800,230900,190700,270000,201500,169600
Feb 2005,101.3,101.3,101.1,101.3,100.9,101.7,220700,234000,192800,273600,203400,172500
Mar 2005,102.8,102.9,102.5,102.8,101.6,102.8,223800,237500,195400,277600,204800,174400
Apr 2005,104.4,104.6,104.2,104.4,102.4,104,227300,241600,198700,281900,206300,176400
May 2005,105.6,106,105.4,105.7,103.1,104.8,229900,244700,201000,285300,207700,177800
Jun 2005,106.8,107.3,106.4,107,103.9,106.3,232700,247700,203000,288800,209400,180300
Jul 2005,107.8,108.2,107.6,107.7,104.9,107.3,234800,249900,205100,290900,211400,181900
Aug 2005,108.9,109.4,108.5,108.9,105.9,107.6,237100,252600,206900,293900,213300,182500
Sep 2005,110.1,110.6,109.7,109.9,106.7,109.8,239800,255300,209200,296700,215100,186300
Oct 2005,110.9,111.5,110.1,111,107.1,110.2,241600,257400,209900,299800,215900,186900
Nov 2005,111.6,112.3,110.8,111.7,107.8,110.6,243100,259300,211300,301600,217200,187500
Dec 2005,112,112.8,111.3,112.1,107.9,111,244000,260400,212300,302700,217400,188200
Jan 2006,114.1,114.8,113.2,114.2,109.7,113.3,248500,265100,215800,308300,221100,192100
Feb 2006,116.4,117.2,115.7,116.4,111.7,115.3,253600,270700,220600,314200,225100,195500
Mar 2006,118.8,119.8,118.2,118.8,113.4,117.2,258700,276600,225500,320700,228500,198700
Apr 2006,121.4,122.6,121.1,121.4,115.5,119.5,264500,283100,230900,327800,232800,202600
May 2006,123.9,125.1,123.8,123.6,117.9,121.6,269800,288800,236000,333600,237600,206300
Jun 2006,125.9,127.1,126,125.3,120.4,123.4,274200,293400,240200,338300,242600,209300
Jul 2006,127.2,128.3,127.6,126.1,121.7,125.2,277000,296200,243300,340500,245300,212400
Aug 2006,128.5,129.6,129,127.3,123.5,126.7,279900,299200,246000,343700,248800,214900
Sep 2006,129.8,130.9,130.1,128.6,124.2,128.4,282700,302200,248100,347300,250300,217800
Oct 2006,130.1,131.2,130.6,128.7,125.2,128.3,283400,303000,249100,347600,252300,217600
Nov 2006,130.3,131.4,130.8,128.9,125.4,128.1,283800,303500,249500,348100,252600,217200
Dec 2006,130.6,131.7,131.7,128.7,126.2,128.5,284400,304100,251200,347600,254300,217900
Jan 2007,132.5,133.7,133.7,130.7,127,130.2,288500,308800,254900,352900,256000,220900
Feb 2007,135.1,136.6,136.6,133.3,128.7,132.1,294200,315400,260500,360000,259400,224000
Mar 2007,137.6,139.2,139.5,135.6,131.1,134.4,299600,321400,266100,366000,264200,228000
Apr 2007,140,141.8,142,138.1,132.7,136.6,305000,327400,270800,372900,267400,231700
May 2007,142.7,144.6,145.2,140.4,134.6,138.6,310700,333900,276900,379200,271300,235000
Jun 2007,144.6,146.6,147.5,142.1,136.3,140.3,314900,338600,281300,383800,274600,237900
Jul 2007,145.6,147.7,149,142.8,137.1,141.5,317100,341000,284200,385600,276200,240000
Aug 2007,146.5,148.6,149.8,143.8,138.2,142.3,319100,343200,285700,388300,278500,241300
Sep 2007,147.4,149.6,150.7,144.7,138.3,143.2,321000,345400,287400,390700,278700,242800
Oct 2007,147.7,149.9,150.9,145.1,138.4,143.4,321700,346200,287800,391700,278900,243200
Nov 2007,147.7,149.9,150.5,145.2,138.3,143.6,321700,346200,287000,392100,278700,243600
Dec 2007,147.6,149.8,150.1,145.1,138.7,144,321500,345800,286200,391900,279400,244200
Jan 2008,148.9,151.1,151.2,146.6,139.4,145,324200,349000,288400,395700,280900,246000
Feb 2008,150,152.4,152.7,147.7,140.2,145.8,326800,352000,291200,398800,282600,247300
Mar 2008,151,153.3,153.9,148.3,141.3,147.2,328800,354000,293500,400500,284700,249600
Apr 2008,151.4,153.7,154.4,148.7,142.1,147.5,329700,355000,294500,401500,286400,250200
May 2008,151.2,153.6,154.4,148.4,142.4,147.3,329400,354600,294400,400700,286900,249900
Jun 2008,150.6,153,153.7,147.8,142.1,146.8,328100,353200,293200,399100,286300,248900
Jul 2008,149.2,151.3,152.3,146,141.2,145.7,324900,349400,290500,394300,284500,247100
Aug 2008,148,150.2,151.2,144.9,140.2,144.5,322400,346700,288400,391200,282600,245100
Sep 2008,146.8,148.9,149.7,143.9,139.2,143.3,319800,343900,285400,388400,280500,243000
Oct 2008,144.2,146.2,147,141.2,137.3,140.8,314100,337600,280300,381300,276600,238800
Nov 2008,141.8,143.8,143.8,139.3,135,138.3,308900,332100,274200,376200,272100,234500
Dec 2008,138.9,140.8,141,136.2,131.6,136.1,302500,325000,268800,367800,265200,230900
Jan 2009,137.8,139.8,139.7,135.5,130.9,133.8,300100,322900,266400,365800,263800,226900
Feb 2009,137.4,139.4,139.5,135,130.4,133.5,299300,321900,266000,364500,262800,226500
Mar 2009,137.4,139.4,139.1,135.1,129.9,133.8,299200,321800,265200,364800,261800,227000
Apr 2009,138.8,140.8,140.6,136.4,130.4,135.3,302200,325200,268200,368300,262700,229500
May 2009,140.4,142.7,142.2,138.4,131.1,136.8,305900,329600,271100,373600,264200,232000
Jun 2009,142.3,144.7,143.6,140.4,132.2,138.9,310000,334100,273900,379100,266300,235500
Jul 2009,144,146.3,145.3,142,133.8,140.5,313600,337900,277000,383300,269700,238300
Aug 2009,145.8,148.2,146.6,144,135.2,142.3,317500,342200,279500,388800,272400,241400
Sep 2009,147.6,150.1,147.6,146.1,136.9,144.2,321400,346500,281400,394600,275800,244600
Oct 2009,149,151.6,148.9,147.8,138.1,145.7,324600,350100,283900,399100,278200,247100
Nov 2009,150.2,152.8,149.3,149.3,139,147.2,327200,352800,284700,403000,280100,249600
Dec 2009,150.7,153.3,150.1,149.6,140,147.9,328300,354000,286200,404000,282100,250800
Jan 2010,152.5,155,151.1,151.6,141.8,150.1,332100,357900,288200,409200,285700,254500
Feb 2010,154.5,157.3,153.3,153.9,142.9,151.3,336600,363300,292300,415500,288000,256600
Mar 2010,156.3,159.1,154.9,155.7,144.6,152.9,340400,367400,295300,420300,291400,259400
Apr 2010,157.4,160.2,156,156.7,146.3,153.7,342800,370000,297500,423000,294700,260600
May 2010,157.9,160.8,156.6,157.2,146.7,154.1,343900,371300,298600,424400,295500,261300
Jun 2010,157.3,160.1,155.8,156.6,146.9,153.1,342500,369700,297100,422800,296000,259700
Jul 2010,156.4,159.3,155.2,155.6,145.7,152,340600,367800,296000,420200,293600,257800
Aug 2010,155.8,158.9,154.2,155.4,145.1,151.1,339400,366800,294100,419700,292300,256300
