Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,221100,234500,194000,273800,204300,171600
Feb 2005,100.6,100.6,100.4,100.7,100.3,101.2,222500,236000,194800,275600,205000,173600
Mar 2005,101.4,101.4,101,101.4,100.6,101.7,224200,237800,195900,277700,205500,174600
Apr 2005,102.2,102.3,101.8,102.2,100.8,102.3,225900,239900,197400,279800,206000,175600
May 2005,102.8,103.1,102.3,103,101,102.8,227400,241700,198500,281900,206300,176400
Jun 2005,103.8,104.2,103.1,104.1,101.4,104,229600,244300,200100,285000,207200,178400
Jul 2005,105.1,105.5,104.3,105.4,102.5,104.9,232400,247400,202400,288600,209400,180000
Aug 2005,106.5,107,105.6,106.7,103.4,105.6,235400,250800,204900,292200,211300,181200
Sep 2005,107.9,108.4,107.2,108,104.7,108,238500,254100,207900,295800,214000,185400
Oct 2005,109.4,110,108.5,109.7,105.7,109,241900,257900,210400,300300,215900,187000
Nov 2005,111,111.6,110.2,111.1,107,110.3,245400,261800,213800,304200,218700,189300
Dec 2005,112.4,113.2,111.6,112.6,107.6,111.4,248500,265400,216500,308300,219900,191200
Jan 2006,114.1,114.8,113.1,114.1,109.7,113.2,252200,269200,219500,312500,224100,194300
Feb 2006,115.6,116.4,114.8,115.6,111.1,114.7,255600,272900,222800,316400,227000,196800
Mar 2006,117.2,118.1,116.5,117.2,112.2,116,259100,277000,226000,320900,229300,199000
Apr 2006,119,120,118.3,118.9,113.8,117.5,263000,281300,229500,325500,232500,201700
May 2006,120.7,121.7,120.2,120.5,115.5,119.3,266900,285400,233200,329800,236000,204700
Jun 2006,122.4,123.4,122.1,122,117.5,120.7,270700,289400,236800,333900,240000,207200
Jul 2006,124.1,125.1,123.8,123.4,119,122.6,274300,293300,240200,337900,243100,210300
Aug 2006,125.6,126.7,125.6,124.8,120.7,124.4,277800,297000,243600,341700,246500,213400
Sep 2006,127.2,128.2,127.1,126.4,121.9,126.3,281200,300700,246600,346100,249000,216700
Oct 2006,128.3,129.4,128.6,127.1,123.4,126.9,283700,303500,249500,348100,252200,217700
